artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Sole,United States,Portland,1977-09-25,activo
Danko Jones,Canada,Toronto,1996,activo
Sander van Doorn,Netherlands,Eindhoven,1979-02-28,activo
Emmit Fenn,United States,Berkeley,no data,activo
Ummet Ozcan,Netherlands,no data,1982-08-16,activo
Obskur,Rimouski,no data,no data,activo
Chocolate Puma,Haarlem,Haarlem,1991,activo
HNNY,Sweden,no data,no data,activo
deadmau5,Canada,Niagara Falls,1981-01-05,activo
JOYRYDE,no data,England,1985-07-24,activo
Imanbek,no data,Kazakhstan,2000-10-21,activo
Moon Rocket,no data,no data,no data,activo
Johann Sebastian Bach,Germany,Eisenach,1685-03-21,activo
THYPONYX,no data,no data,no data,activo
Mr. Belt & Wezol,Netherlands,no data,no data,activo
Hi_Tack,no data,no data,2006,activo
Helsloot,Almere,no data,1984-10-30,activo
W&W,Netherlands,Mexico,2007,activo
Low Steppa,United Kingdom,no data,no data,activo
CamelPhat,United Kingdom,Liverpool,2008,activo
Taiki Nulight,United Kingdom,no data,no data,activo
Dustycloud,France,Paris,no data,activo
JAY‐Z,United States,Brooklyn,1969-12-04,activo
Nightcrawlers,United Kingdom,Glasgow,1992,activo
Krewella,United States,Chicago,2007,activo
Nico de Andrea,Paris,no data,no data,activo
Cloonee,United Kingdom,no data,no data,activo
Gareth Emery,United Kingdom,Southampton,1980-07-18,activo
David Nathan,Germany,Berlin,1971-03-16,activo
Dr. Fresch,United States,no data,no data,activo
Freddy Quinn,Germany,Niederösterreich,1931-09-27,activo
WhoCares,United Kingdom,United Kingdom,2011,activo
[no artist],no data,no data,no data,activo
Seven Lions,United States,Santa Barbara,1987-03-31,activo
Sound Quelle,Russia,no data,no data,activo
Kurd Maverick,Germany,no data,no data,activo
Godford,no data,no data,no data,activo
The Everly Brothers,United States,Knoxville,1957,activo
IC3PEAK,Russia,Moscow,2013-10-19,activo
Kartell,Tours,no data,no data,activo
Alex North,United States,Chester,1910-12-04,activo
PAX,Germany,Germany,1995,activo
Alan Silvestri,United States,New York,1950-03-26,activo
Diplo,United States,Tupelo,1978-11-10,activo
Kaskade,United States,Chicago,1971-02-25,activo
Deorro,Los Angeles,Ciudad de México,1991-08-30,activo
Purple Disco Machine,Germany,Dresden,1980-02-12,activo
