artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Franz Schubert,Austria,Alsergrund,1797-01-31,activo
Mary Lattimore,Los Angeles,Asheville,no data,activo
Vincent Ingala,United States,Prospect,1992-12-10,activo
Linkin Park,United States,Agoura Hills,1996,activo
Ella Fitzgerald,United States,Newport News,1917-04-25,activo
Juraj Stanik Trio,no data,no data,no data,activo
Gathering in Jazz,no data,no data,no data,activo
Jazz Trio,no data,no data,no data,activo
Peggy Lee,United States,Jamestown,1920-05-26,activo
Anthony Lazaro,no data,no data,no data,activo
Espen Eriksen Trio,Norway,no data,no data,activo
Kahil El’Zabar,United States,Chicago,1953-11-11,activo
The Oscar Peterson Trio,United States,no data,1946,activo
KOKOROKO,United Kingdom,London,2014,activo
OTESLA,no data,no data,no data,activo
Ennio Morricone,Italy,Roma,1928-11-10,activo
Massimo Faraò,Italy,Genova,1965-03-16,activo
Potatohead People,Canada,no data,no data,activo
Lydia Baskow Trio,Sweden,no data,no data,activo
Red Stairs Jazz Quartet,Sweden,no data,no data,activo
Doris Day,United States,Cincinnati,1922-04-03,activo
Plini,Australia,Sydney,1992,activo
Hara Noda,Sweden,no data,no data,activo
Spaze Windu,Germany,no data,no data,activo
Miramare,Germany,no data,no data,activo
PYJÆN,London,no data,no data,activo
Jørgen Emborg,Denmark,no data,1953-03-29,activo
John Williams,United States,Flushing,1932-02-08,activo
George Jones,United States,Saratoga,1931-09-12,activo
Vitamin String Quartet,United States,no data,1999,activo
Uochi Toki,Italy,no data,no data,activo
Carsten Dahl,Denmark,Copenhagen,1967-10-03,activo
Shalosh,Israel,no data,2013,activo
Hailu Mergia,Ethiopia,Debre Berhan,1946,activo
Konteks,Manchester,no data,no data,activo
Silvana Estrada,Mexico,Xalapa,1997-04-15,activo
Art Blakey & The Jazz Messengers,United States,no data,1954,activo
Greydon Park Band,Sweden,no data,no data,activo
Green Day,United States,Berkeley,1989,activo
Maynard Ferguson,United States,Verdun,1928-05-04,activo
Ryan Adams,United States,Jacksonville,1974-11-05,activo
Eve St. Jones,no data,no data,no data,activo
Igory,no data,no data,no data,activo
Bibi Tanga & the Selenites,France,no data,no data,activo
Dorian Concept,Austria,Wien,1984-09-16,activo
Long Island Quartet,Sweden,no data,no data,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Meyhem Lauren,United States,Queens,1989,activo
Godfather Don,United States,Bushwick,no data,activo
Ben & Katsy,no data,no data,no data,activo
Nina Simone,United States,Tryon,1933-02-21,activo
Tony Bennett,United States,Long Island City,1926-08-03,activo
Siimbiie Lakew,no data,no data,no data,activo
The Kingston Trio,United States,no data,1957,activo
Sylvia Telles,Brazil,no data,1934-08-27,activo
Hollbeck,no data,no data,no data,activo
Gregory Porter,United States,Sacramento,1971-11-04,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Shierro,no data,no data,no data,activo
Yussef Dayes,no data,London,1993,activo
Aphrow,Belgium,Liège,no data,activo
N O R M a L,no data,no data,no data,activo
Anita Rosswell,Sweden,no data,no data,activo
Pigeondust,Chiba,no data,no data,activo
