artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Brett Eldredge,United States,Paris,1986-03-23,activo
Willie Nelson,United States,Abbott,1933-04-30,activo
Bee Gees,United Kingdom,Redcliffe,1958,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Die drei ??? Kids,Germany,no data,2006,activo
Bring Me the Horizon,United Kingdom,Sheffield,2004-03,activo
Nothing But Thieves,United Kingdom,Southend-on-Sea,2012,activo
Deftones,United States,Sacramento,1988,activo
Rend Collective,Northern Ireland,Bangor,2004,activo
RedHook,Australia,Sydney,2018-06-01,activo
Grateful Dead,United States,Palo Alto,1965,activo
Ozzy Osbourne,Los Angeles,Aston,1948-12-03,activo
Russell Dickerson,United States,Nashville,1987-05-07,activo
Missio,United States,Austin,2015,activo
AC/DC,Australia,Sydney,1973-11,activo
Stephen King,United States,Portland,1947-09-21,activo
Silverstein,Canada,Burlington,2000-06,activo
Self Deception,Sweden,Stockholm,2007-11-27,activo
The Happy Fits,New Jersey,New Jersey,2016-04-20,activo
Eve,United States,Philadelphia,1978-11-10,activo
Ray Charles,United States,Albany,1930-09-23,activo
Iration,United States,California,no data,activo
James Taylor,United States,Boston,1948-03-12,activo
All Time Low,United States,Baltimore,2003,activo
[no artist],no data,no data,no data,activo
Adelitas Way,United States,Las Vegas,2006,activo
Lime Cordiale,Sydney,no data,2009-09,activo
BABYMETAL,Japan,Tokyo,2010-11-28,activo
Bon Iver,United States,Eau Claire,2006,activo
Shinsei,no data,no data,no data,activo
Kiro,no data,no data,no data,activo
Fit for a King,United States,no data,2007-09,activo
Los Solitarios,Mexico,Tijuana,1962,activo
Sidewalk Prophets,no data,Nashville,2003,activo
John Lennon,United Kingdom,Liverpool,1940-10-09,activo
Mitchell Tenpenny,United States,Nashville,1989-08-17,activo
no data,no data,no data,no data,no data
Jimmie Davis,United States,Jackson Parish,1899-09-11,activo
Paul McCartney,United Kingdom,Walton,1942-06-18,activo
Soccer Mommy,United States,Zurich,1997-05-27,activo
Dusty Springfield,United Kingdom,West Hampstead,1939-04-16,activo
John Williams,United States,Flushing,1932-02-08,activo
SE SO NEON,South Korea,Seoul,2016,activo
YUU,no data,no data,no data,activo
Bonnie Tyler,United Kingdom,Skewen,1951-06-08,activo
Tropidelic,United States,Cleveland,no data,activo
Theory of a Deadman,Canada,Delta,2001,activo
Parliament,United States,Plainfield,1968,activo
Milky Chance,Germany,Kassel,2012,activo
Bombay Bicycle Club,United Kingdom,Crouch End,2005,activo
Betcha,Nashville,no data,no data,activo
Scotty McCreery,United States,no data,1993-10-09,activo
Des Rocs,United States,no data,no data,activo
Leeland,United States,Baytown,2004,activo
Travis,Scotland,Glasgow,1990,activo
The Osborne Brothers,United States,no data,1956,activo
Piano Dreamers,no data,no data,no data,activo
Kari Jobe,United States,Waco,1981-04-06,activo
Crowder,United States,no data,1971-11-29,activo
Sanctus Real,United States,Toledo,1996,activo
Brantley Gilbert,United States,Jefferson,1985-01-20,activo
Sam Cooke,United States,Clarksdale,1931-01-22,activo
Goth Babe,no data,no data,no data,activo
KANA-BOON,Japan,Sakai,2006-12-17,activo
Richard Rodgers,United States,New York,1902-06-28,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Dashboard Confessional,United States,Boca Raton,1999,activo
David Bisbal,Spain,Almería,1979-06-05,activo
We Are Messengers,United States,Monaghan,2015,activo
Chris Tomlin,United States,Grand Saline,1972-05-04,activo
Nada Surf,United States,New York,1992,activo
J. K. Rowling,United Kingdom,Yate,1965-07-31,activo
Delta Spirit,United States,San Diego,2005,activo
Bleachers,United States,Bergen County,2013,activo
Arrested Youth,United States,no data,no data,activo
Dynazty,Sweden,Stockholm,2007,activo
Brandi Carlile,United States,Ravensdale,1981-06-01,activo
The Beatles,United Kingdom,Liverpool,1960,activo
NewDad,London,Galway,2017,activo
for KING & COUNTRY,United States,Nashville,2007,activo
Bonnie Tyler,United Kingdom,Skewen,1951-06-08,activo
Machine Head,United States,Oakland,1991-10-12,activo
Fiona Apple,United States,Manhattan,1977-09-13,activo
Gorillaz,England,Essex,1999,activo
Glass Animals,United Kingdom,Oxford,2010-01-01,activo
Kaleo,Iceland,Mosfellsbær,2012-11-08,activo
Jon Pardi,United States,Dixon,1985-05-20,activo
Jimmy Buffett,United States,Pascagoula,1946-12-25,activo
Bad Nerves,United Kingdom,no data,no data,activo
YUNGBLUD,West Yorkshire,Doncaster,1997-08-05,activo
Jackie Wilson,United States,Detroit,1934-06-09,activo
Lisa Hannigan,Ireland,Kilcloon,1981-02-12,activo
Ryan Adams,United States,Jacksonville,1974-11-05,activo
Drake,Canada,Toronto,1986-10-24,activo
Neon Trees,United States,Provo,2005,activo
Steve Hackett,United Kingdom,London,1950-02-12,activo
Aimer,Japan,no data,no data,activo
The Beatles,United Kingdom,Liverpool,1960,activo
STRFKR,United States,Portland,2007,activo
Ruts DC,no data,no data,no data,activo
Rat Boy,United Kingdom,Chelmsford,1996-02-21,activo
Talking Heads,United States,New York,1974,activo
Car Seat Headrest,Seattle,Leesburg,2010,activo
John Lee Hooker,United States,Coahoma County,1917-08-22,activo
Palaye Royale,United States,Las Vegas,2008,activo
Badflower,Los Angeles,no data,2013,activo
Grouplove,United States,Los Angeles,2009,activo
MisterWives,New York,New York,2012,activo
Plini,Australia,Sydney,1992,activo
Hanni El Khatib,Los Angeles,San Francisco,1981-06-08,activo
Blanka,Paris,no data,no data,activo
Spacey Jane,Perth,Perth,2016,activo
Tauren Wells,United States,Battle Creek,1986-04-07,activo
Bryan Adams,Canada,Kingston,1959-11-05,activo
Nickelback,Canada,Hanna,1995,activo
Granger Smith,North Carolina,Dallas,1979-09-04,activo
Thomas Rhett,United States,Valdosta,1990-03-30,activo
Phil Wickham,United States,San Diego,1984-04-05,activo
Red Hot Chili Peppers,United States,Los Angeles,1983,activo
Camille Saint‐Saëns,France,Paris,1835-10-09,activo
NEEDTOBREATHE,United States,Seneca,2000,activo
The Cadillac Three,United States,Nashville,2011,activo
Future Islands,United States,Greenville,2006,activo
Egypt Central,United States,Memphis,2002,activo
Cat Stevens,United Kingdom,Marylebone,1948-07-21,activo
Vulfpeck,United States,Ann Arbor,2011,activo
Walk off the Earth,Canada,Burlington,2006,activo
Wanda Jackson,United States,Maud,1937-10-20,activo
Kip Moore,United States,Tifton,1980-04-01,activo
Matt Maher,United States,Newfoundland and Labrador,1974-11-10,activo
Pearl Jam,United States,Seattle,1990,activo
High Valley,Canada,La Crete,1997,activo
Demi the Daredevil,Austin,no data,no data,activo
Brent Cobb,United States,Ellaville,1986-08-01,activo
From Ashes to New,United States,Lancaster,2013-05-26,activo
Adam Jensen,Boston,no data,no data,activo
American Aquarium,United States,Raleigh,2005,activo
My Morning Jacket,United States,Louisville,1998,activo
