canciones,artistas,género,tipo,año lanzamiento
Heat Waves,Glass Animals,Rock,track,2020
Borderline,Tame Impala,Rock,track,2020
The Adults Are Talking,The Strokes,Rock,track,2020
Crazy Train,Ozzy Osbourne,Rock,track,2020
Black Creek,Brent Cobb,Rock,track,2020
Body Like A Back Road,Sam Hunt,Rock,track,2020
One Of Them Girls,Lee Brice,Rock,track,2020
Why,Dominic Fike,Rock,track,2020
Pretty Boy,The Neighbourhood,Rock,track,2020
Memory I Don't Mess With,Lee Brice,Rock,track,2020
Knockin' Boots,Luke Bryan,Rock,track,2020
Way Maker - Single Version,Leeland,Rock,track,2020
One More Hour,Tame Impala,Rock,track,2020
Monsters (feat. blackbear),All Time Low,Rock,track,2020
Kingslayer (feat. BABYMETAL),Bring Me The Horizon,Rock,track,2020
Spooky (Single Version),Dusty Springfield,Rock,track,2020
Is It True,Tame Impala,Rock,track,2020
Stargazing,The Neighbourhood,Rock,track,2020
Kaikai Kitan,Eve,Rock,track,2020
Stayin Alive,Bee Gees,Rock,track,2020
One Margarita,Luke Bryan,Rock,track,2020
I Want You To Love Me,Fiona Apple,Rock,track,2020
One Of Them Girls,Lee Brice,Rock,track,2020
Lost In Yesterday,Tame Impala,Rock,track,2020
Maybe It's Ok,We Are Messengers,Rock,track,2020
Who's Ready for Tomorrow,RAT BOY,Rock,track,2020
紅蓮華,LiSA,Rock,track,2020
Devil's Advocate,The Neighbourhood,Rock,track,2020
Selfless,The Strokes,Rock,track,2020
More Than A Woman,Bee Gees,Rock,track,2020
Tokyo Drifting,Glass Animals,Rock,track,2020
Soul,Lee Brice,Rock,track,2020
parents,YUNGBLUD,Rock,track,2020
Kinfolks,Sam Hunt,Rock,track,2020
Breathe Deeper,Tame Impala,Rock,track,2020
Miracles,Colton Dixon,Rock,track,2020
Ridin’ Roads,Dustin Lynch,Rock,track,2020
Hard To Forget,Sam Hunt,Rock,track,2020
Ode To The Mets,The Strokes,Rock,track,2020
Born For This,The Score,Rock,track,2020
Thinking 'Bout You (feat. Lauren Alaina),Dustin Lynch,Rock,track,2020
Roll Me Up and Smoke Me When I Die - Live,Willie Nelson,Rock,track,2020
Monsters (feat. Demi Lovato and blackbear),All Time Low,Rock,track,2020
Who Am I,NEEDTOBREATHE,Rock,track,2020
Cherry Flavoured,The Neighbourhood,Rock,track,2020
Teardrops,Bring Me The Horizon,Rock,track,2020
Mr. Crowley,Ozzy Osbourne,Rock,track,2020
Wildflowers & Wine,Marcus King,Rock,track,2020
Vampire,Dominic Fike,Rock,track,2020
One Margarita,Luke Bryan,Rock,track,2020
Whiskey And Rain,Michael Ray,Rock,track,2020
Breaking Up Was Easy In The 90's,Sam Hunt,Rock,track,2020
Banks,NEEDTOBREATHE,Rock,track,2020
Famous For (I Believe),Tauren Wells,Rock,track,2020
Level of Concern,Twenty One Pilots,Rock,track,2020
The Blessing,Kari Jobe,Rock,track,2020
I'm Not For Everyone,Brothers Osborne,Rock,track,2020
Parasite Eve,Bring Me The Horizon,Rock,track,2020
1x1 (feat. Nova Twins),Bring Me The Horizon,Rock,track,2020
M.,Anıl Emre Daldal,Rock,track,2020
Battle Belongs,Phil Wickham,Rock,track,2020
Wurli,Dominic Fike,Rock,track,2020
Panic,From Ashes to New,Rock,track,2020
