Artista,Biografia,Listeners,Playcount,Artistas Similares
Marco V,"From well-known tracks like 'Indicator', 'Simulated' and 'Godd' through to present-day productions such as 'Second Bite', 'More Than A Life Away' and 'Red Blue Purple', and his successful updates of widely regarded classics such as 'Café Del Mar' and 'Loops & Tings Relooped', Marco V's discography is considerably extensive. On the decks he develops his personal style, incorporating anything from electro to techno. Travel the globe and you'll be hard-pushed to find a major club that hasn’t served as his host. <a href=""https://www.last.fm/music/Marco+V"">Read more on Last.fm</a>",246315,1714091,Marcel Woods
Electronica House," <a href=""https://www.last.fm/music/Electronica+House"">Read more on Last.fm</a>",1505,16138,La Mejor Música Electrónica
Ducky,"Ducky, real name CK, is a tattoo artist and former electronic music producer from the West Coast. His music is a range of hypnotic warehouse and experimental club productions, stretching from soft and intimate to full-on hardcore. He also to provide vocals to many EDM producers, such as Leotrix, MUST DIE! and Jauz.

In 2010 he majored in recorded music at Clive Davis Program at NYU’s Tisch. Moving west from New York on a whim, he quickly bubbled up in the LA and internet scenes with releases on OWSLA’s sister label NEST <a href=""https://www.last.fm/music/Ducky"">Read more on Last.fm</a>",37225,243693,Ford.
Paul Woolford,"Through his work as Dj, Producer, Dancefloor experimentalist, Remixer, 
Collaborator and label owner, Paul Woolford has succeeded in bringing a rare 
level of artistry to the world of modern dance music and in doing so, made an 
enduring global impact. His name is synonymous with high-quality. 

""When Paul played in Detroit at The Works with Derrick May and I, it was the most spiritual set I've heard him play...""
CARL CRAIG interviewed for by WeLoveTV June 2011. <a href=""https://www.last.fm/music/Paul+Woolford"">Read more on Last.fm</a>",162284,986068,Dj MaysoN
Jasper Tygner,"Hailing from North London, 25-year old producer/composer and multi instrumentalist Jasper Tygner takes influence from the UK electronic music scene melding sounds from Garage, House and Break Beat with Neo-Soul and Trip-Hop. With training in electronic music and Jazz Drums from Guildhall School of Music, Jasper cites James Blake, EL-B, Ross From Friends, Burial and Kaytranada as current influences on his production. Equipped with a range of studio skills both behind and in-front of the mic <a href=""https://www.last.fm/music/Jasper+Tygner"">Read more on Last.fm</a>",90189,619012,Lawrence Hart
Abelation," <a href=""https://www.last.fm/music/Abelation"">Read more on Last.fm</a>",15278,100758,Toadface
Le Youth,"Le Youth is a leading figure in the dance music scene. He has amassed over 350,000,000 streams on the back of a plethora of releases and remixes on some of the most respected labels in the genre. From Lane 8's This Never Happened to Anjunabeats, Armada Electronic Elements and many more, Le Youth continues to push the boundaries with each release.

Inspired by the deep and melodic sounds of Lane 8, Ben Böhmer, Sasha, and Eric Prydz, Le Youth has dedicated himself to crafting music that works in every setting; from chilled nights in <a href=""https://www.last.fm/music/Le+Youth"">Read more on Last.fm</a>",306007,2982096,Lane 8
EDX,"EDX is a worldwide acclaimed remixer, well known for his brilliant work for the likes of Dubfire, Deadmau5, Armand van Helden, Steve Angello, Sucker DJs, Michael Procter, Kool & The Gang, Lauryn Hill, Kaskade and Armin van Buuren, to name but a few.
Enormous Diverse Xample (of a genius) might not be an accurate, but for sure a possible interpretation of the three letters EDX. Productive and successful for more then a decade, Italian native artist <a href=""https://www.last.fm/music/EDX"">Read more on Last.fm</a>",253544,2258398,Michael Calfan
Habstrakt,"Coming from the South of France, Adam a.k.a Habstrakt was a guitar and keys player before turning his mind onto samplers and grooveboxes very early. He first got into Trip Hop and also wrote music for movies & even theater, but in 2008 he discovered dubstep and drum n bass music, and immediately got involved in production and DJ'ing.

Four years later his tracks are welcomed by many established labels such as Buygore and Never Say Die. Those releases <a href=""https://www.last.fm/music/Habstrakt"">Read more on Last.fm</a>",141300,1475210,JOYRYDE
Local Singles," <a href=""https://www.last.fm/music/Local+Singles"">Read more on Last.fm</a>",5486,22410,ROXE
