Artista,Biografia,Listeners,Playcount,Artistas Similares
Top Hit Songs," <a href=""https://www.last.fm/music/Top+Hit+Songs"">Read more on Last.fm</a>",31,97,no data
Leon Jaar," <a href=""https://www.last.fm/music/Leon+Jaar"">Read more on Last.fm</a>",1634,9584,Danny Joseph
Nicole Knight," <a href=""https://www.last.fm/music/Nicole+Knight"">Read more on Last.fm</a>",16,52,no data
20/20,"20/20 was formed in Tulsa, OK by high school friends Steve Allen (guitar, vocals) and Ron Flynt (bass, vocals). They're known today as a popular power pop band, preceding as well as being a part of the late 70s power pop boom among bands such as Cheap Trick, The Knack, and The Records. Tracks ""Cheri"" and ""Yellow Pills"" have been included in several multi-artist power pop collections, with the 'Yellow Pills' title becoming a sort of underground shorthand for the scene. <a href=""https://www.last.fm/music/20%2F20"">Read more on Last.fm</a>",19988,177852,Shoes
FMSAO,"FMSAO is the project of Evgeny Shchukin, who also produces as WOLS and in the duo Narcissi. Evgeny is also one of the founders of Fuselab label. <a href=""https://www.last.fm/music/FMSAO"">Read more on Last.fm</a>",3231,21093,Monokle
Smyles," <a href=""https://www.last.fm/music/Smyles"">Read more on Last.fm</a>",15868,78517,Robbe
Train to Mars," <a href=""https://www.last.fm/music/Train+to+Mars"">Read more on Last.fm</a>",5120,23298,TommyMuzzic
Glass Animals,"Glass Animals is an English electronic/indie rock band formed in Oxford in 2010. The band's line-up consists of Dave Bayley (vocals, guitar, keyboards, drums, songwriting), Drew MacFarlane (guitar, keyboards, backing vocals), Edmund Irwin-Singer (bass, keyboards, backing vocals), and Joe Seaward (drums).

All four members of the band met at St Edward's School in Oxford. Dave Bayley attended St Edward's on a music scholarship and was introduced to Drew MacFarlane <a href=""https://www.last.fm/music/Glass+Animals"">Read more on Last.fm</a>",2071001,99387502,Sir Sly
Ella Henderson,"Ella Henderson (born 12 January 1996) is a British singer-songwriter from Lincolnshire, England. She was a contestant on the ninth series of The X Factor  in 2012 and finished in sixth place.

Henderson is a big fan of Amy Winehouse and Frank Sinatra and picked out Olly Murs and Leona Lewis as her favorite X Factor contestants from previous series’ of the show. Henderson confessed that she'd love to sing with Adele or Beyoncé.

Her debut single <a href=""https://www.last.fm/music/Ella+Henderson"">Read more on Last.fm</a>",586308,6900647,Becky Hill
MKTO,"MKTO is a Californian music duo consisting of Malcolm Kelley and Tony Oller. The two met in 2010 while filming the Nickelodeon television series Gigantic, in which they played best friends. They later formed a musical duo and came up with the name MKTO, which represents their combined initials. They elaborated upon the inspiration for their group name, saying ""it also stands for what our album kind of is: Misfit Kids and Total Outcasts – just like the kids we were in high school"". <a href=""https://www.last.fm/music/MKTO"">Read more on Last.fm</a>",926246,9318368,Andy Grammer
Madeline The Person," <a href=""https://www.last.fm/music/Madeline+The+Person"">Read more on Last.fm</a>",128963,1097065,no data
Gus Dapperton,"
Gus Dapperton is an indie pop artist from Warwick, New York, United States.

Starting out as a hip-hop producer at the age of 13, Dapperton made the switch to his current sound after a serious hospitalisation and the failure of his laptop. 

Pairing infectious, nostalgia-laden tunes with high-concept filmclips, lauded for their high-concept cinematic execution, has proven to be a recipe for success. Blowing up through 2017, with two EPs dropped, and fans and the press alike taking notice, Dapperton's future looks bright.

 <a href=""https://www.last.fm/music/Gus+Dapperton"">Read more on Last.fm</a>",531447,11281740,Dayglow
Disclosure,"Disclosure are Guy Lawrence and Howard Lawrence, brothers from Surrey, United Kingdom. Crafting their own lo-fi dream-dub sound, Disclosure effortlessly combine 2-step garage rhythms and dubstep basslines with their own rich musical heritage of soul, jazz and 90s hip hop. After their debut single on Moshi-Moshi Records in September 2010, the duo released a 4 track EP on Transparent Records the year after. 2012 saw the release of ""Tenderly/Flow"" and ""The Face"" EP on Greco-Roman. <a href=""https://www.last.fm/music/Disclosure"">Read more on Last.fm</a>",1962516,60663781,AlunaGeorge
SZA,"Solána Imani Rowe, known professionally as SZA, is an American singer and songwriter. She was born in St. Louis, Missouri but raised in Maplewood, New Jersey. She self-released her debut EP, See.SZA.Run in October 2012. 

In April 2013, SZA released her S EP to good critical reviews— in July of that same year, it was announced she was signed to Top Dawg Entertainment and began working on her Z EP, which would eventually become a full-fledged album. Z was released in April 2014.  <a href=""https://www.last.fm/music/SZA"">Read more on Last.fm</a>",2692456,376572629,Summer Walker
Justin Bieber,"Justin Drew Bieber (born March 1, 1994 in London, Ontario, Canada) is a Grammy Award winning Canadian pop singer, songwriter, and multi-instrumentalist. Bieber was discovered in 2008 by American talent manager Scooter Braun, who came across Bieber's videos on YouTube and later became his manager. Braun arranged for him to meet with entertainer Usher Raymond in Atlanta, Georgia. Bieber was signed to Raymond Braun Media Group (RBMG), and then to an Island Records recording contract offered by record executive L.A. Reid. <a href=""https://www.last.fm/music/Justin+Bieber"">Read more on Last.fm</a>",3717323,197390471,Zayn
Piano Dreamers," <a href=""https://www.last.fm/music/Piano+Dreamers"">Read more on Last.fm</a>",67005,846823,Piano Tribute Players
Kevian Kraemer,"Kevian Kraemer, an artist hailing from Asbury Park, New Jersey, rose to prominence for his extraordinary guitar skills and catchy tunes. He began his musical journey as a child prodigy under the mentorship of John Liedersdorf at Lakehouse Music, a place known for shaping talents like Bon Jovi, Lorde, and Brian Fallon. While his hit track “Fly” gained massive traction on TikTok, amassing six million views and over one million likes, it was only the beginning of his rise in the indie music scene, which also doubled his Spotify followers. <a href=""https://www.last.fm/music/Kevian+Kraemer"">Read more on Last.fm</a>",41419,415567,Alfie Jukes
Kid Kapichi,"Prepare to be left with your mouth open and your heart racing. Hastings four piece, Kid Kapichi's colossal riffs are matched only by their earth shakingly tight and loud live performances that are relentless from beginning to end. To make things worse, their tunes are impossibly infectious with a uniquely crafted sound that takes in QOTSA, The Libertines, Nirvana and The Arctic Monkeys.

Enjoyed repeated organic support from Steve Lamacq and planning to take over the world later this year... or die trying. <a href=""https://www.last.fm/music/Kid+Kapichi"">Read more on Last.fm</a>",76760,1323950,Soft Play
Wallows,"Wallows is an American alternative rock band based in Los Angeles composed of Dylan Minnette (guitar and vocals), Braeden Lemasters (guitar and vocals), and Cole Preston (drums and vocals). The band began releasing songs independently in April 2017 starting with ""Pleaser"", which reached number two on the Spotify Global Viral 50 chart.

In April 2017, the band released their first single under the Wallows moniker, ""Pleaser"". The song would eventually <a href=""https://www.last.fm/music/Wallows"">Read more on Last.fm</a>",1599848,85638716,Dayglow
Maryam Vidal," <a href=""https://www.last.fm/music/Maryam+Vidal"">Read more on Last.fm</a>",8,18,no data
Melanie Martinez,"Melanie Adele Martinez (born April 28th, 1995) is an American singer-songwriter, artist, director, actress, dancer, clothing designer, producer and  photographer. 

Born in Astoria, Queens, and raised in Baldwin, New York, she first participated in the MSG Varsity Talent Show during her junior year of high school and subsequently rose to prominence in 2012 after appearing on the American television vocal talent show The Voice. She auditioned singing <a href=""https://www.last.fm/music/Melanie+Martinez"">Read more on Last.fm</a>",1778575,178942851,Jazmin Bean
YDKM," <a href=""https://www.last.fm/music/YDKM"">Read more on Last.fm</a>",5641,70851,GORESET
The Bedtime Orchestra," <a href=""https://www.last.fm/music/The+Bedtime+Orchestra"">Read more on Last.fm</a>",15366,89633,Alec Dufner
Workout Music," <a href=""https://www.last.fm/music/Workout+Music"">Read more on Last.fm</a>",10239,97750,Workout Music Tv
Kehlani,"Kehlani Ashley Parrish (born April 24, 1995), known professionally as Kehlani, is an American singer and songwriter. Kehlani is originally from Oakland, California where they achieved initial fame as a member of the teen pop group, Poplyfe, which was a finalist on America's Got Talent. Kehlani released their first mixtape Cloud 19, in 2014; followed by their sophomore mixtape You Should Be Here the next year. Their debut album SweetSexySavage was released in January 2017 to mainly positive reception <a href=""https://www.last.fm/music/Kehlani"">Read more on Last.fm</a>",1207346,45092458,Kiana Ledé
Scarlett Rome," <a href=""https://www.last.fm/music/Scarlett+Rome"">Read more on Last.fm</a>",7,12,no data
Movie Sounds Unlimited," <a href=""https://www.last.fm/music/Movie+Sounds+Unlimited"">Read more on Last.fm</a>",171386,1247632,Алан Сильвестри
Bebe Rexha,"Bleta Rexha, known professionally as Bebe Rexha, is an American singer and songwriter. After signing with Warner Records in 2013, Rexha received songwriting credits on Eminem's single ""The Monster"" and has also contributed songwriting to songs recorded by Shinee, Selena Gomez and Nick Jonas. Rexha released her debut EP in 2015, I Don't Wanna Grow Up, which saw the moderate commercial success of the singles ""I Can't Stop Drinking About You"" and ""I'm Gonna Show You Crazy"". <a href=""https://www.last.fm/music/Bebe+Rexha"">Read more on Last.fm</a>",1196802,32126886,Rita Ora
Cardi B,"Belcalis Marlenis Almánzar (born October 11, 1992), known professionally as Cardi B, is an American rapper and songwriter. Born and raised in New York City, she became an Internet celebrity by achieving popularity on Vine and Instagram. From 2015 to 2017, she appeared as a regular cast member on the VH1 reality television series Love & Hip Hop: New York, which depicted her pursuit of her music aspirations. She released two mixtapes—Gangsta Bitch Music, Vol. 1 and Vol. 2, before signing with label Atlantic Records in early 2017. <a href=""https://www.last.fm/music/Cardi+B"">Read more on Last.fm</a>",1837477,55313435,Latto
Variation 5," <a href=""https://www.last.fm/music/Variation+5"">Read more on Last.fm</a>",373,1086,Geeno Smith
