Artista,Biografia,Listeners,Playcount,Artistas Similares
the artificials,"The Artificials is a project started by former Erra guitarist Alan Rigdon. The Artificials actually began in 2007 with Aaron Surratt, a life long friend. They experimented with every source of inspiration with the likes of bands like Glassjaw, Misery Signals, and Hopesfall. The Artificials reformed after Alan departed from Erra in 2014. The group now consists of Alan Rigdon and Sarah Rigdon. You can find their debut EP on bandcamp at www.theartificialsmusic.bandcamp.com <a href=""https://www.last.fm/music/the+artificials"">Read more on Last.fm</a>",6357,82254,Petroglyphs
Hellhorse,"There are 2 artists named Hellhorse

1.) Hellhorse was a Black Metal/Hardcore Punk band from Tucson Arizona, formed around 2010 they released 1 EP entitled “Decade of Dust”, they would break up shortly after it’s release, they would gain minor attention after their album photo was used in a creepypasta entitled “Satan’s Sphynx”.

2.) Hellhorse is a Doomgrass band from Boston Massachusetts that have 2 albums entitled “Old Dystopia” and “Paradise Lost”. <a href=""https://www.last.fm/music/Hellhorse"">Read more on Last.fm</a>",2120,28441,Low Places
Shim,"SHIM is a rock band from Seattle consisting of  Jeremy Crowe, Ragan Crowe, Mike Notter,
Micah Simler <a href=""https://www.last.fm/music/Shim"">Read more on Last.fm</a>",8624,73902,H.e.r.o.
QuietKind,"QuietKind is a three piece American progressive metalcore band from Wausau, Wisconsin. They were formed in 2017 by vocalist Nick Becher, guitarist Evan Jordan, and drummer Dolan Kallin. <a href=""https://www.last.fm/music/QuietKind"">Read more on Last.fm</a>",7940,55682,Life Barrier
Fayne,"Alex  - Guitar/Vox
Chris - Bass/vox
Nick - Guitar
Jo - Vocals
Justin - Drums


Hardcore / Metalcore
Montreal, PQ.



 <a href=""https://www.last.fm/music/Fayne"">Read more on Last.fm</a>",4397,16999,Lionfight
Set for the Fall,"Set For The Fall is a christian rock band that was brought together for the purpose of showing the world that even the lowliest of man can be used in Gods great plan!

Set For The Fall was established in Setember 2011. The band immediately submersed themselves into writing with one purpose, to bring a truthful message of how God can transform any person from any walk of life to become an instrument in God’s unfailing plan. Set For The Fall’s sound can be described as hard driving choruses mixed with melodic vocals and punchy rhythms. <a href=""https://www.last.fm/music/Set+for+the+Fall"">Read more on Last.fm</a>",8813,92563,Sent by Ravens
Unit,"Unit revers to at least five different artists:

1- Unit is Cristian Fleming, an experimental IDM based drum and bass producer.

2- Unit was an italian post punk band.

3- Unit is the new name of Academy 23, the experimental music project created by Andy Martin and Dave Fanning immediately after disbanding their former group The Apostles.

4- Unit is a Bolivian band with Coco Bedregal on the vocals and Andres Dedeko on the lead guitar.

5- Unit is a Swedish jazz group <a href=""https://www.last.fm/music/Unit"">Read more on Last.fm</a>",12573,89542,Aspen
20/20,"20/20 was formed in Tulsa, OK by high school friends Steve Allen (guitar, vocals) and Ron Flynt (bass, vocals). They're known today as a popular power pop band, preceding as well as being a part of the late 70s power pop boom among bands such as Cheap Trick, The Knack, and The Records. Tracks ""Cheri"" and ""Yellow Pills"" have been included in several multi-artist power pop collections, with the 'Yellow Pills' title becoming a sort of underground shorthand for the scene. <a href=""https://www.last.fm/music/20%2F20"">Read more on Last.fm</a>",19988,177852,Shoes
O! The Joy,"Sacramento's rock scene has long been a source for amazing bands. O! the Joy is the next big thing to come from this city of indie rock angels. This atypical band, born from the ashes of Mister Metaphor (former project of Justin Goings, O! the Joy's drummer), succeeds in creating a perfect harmony between a wide range of genres, from krautrock to emo. There's something really catchy that grabs you when you first hear the abounding universe of O! The Joy. <a href=""https://www.last.fm/music/O%21+The+Joy"">Read more on Last.fm</a>",2989,51885,Five Minute Ride
Korn,"Korn (stylized as KoЯn, or occasionally KoRn) is an American nu metal band from Bakersfield, California, formed in 1993. The band is notable for pioneering the nu metal genre and bringing it into the mainstream. Originally formed in 1993 by three members of the band L.A.P.D., Korn's current lineup features founding members James ""Munky"" Shaffer (guitar); Reginald ""Fieldy"" Arvizu (bass); Brian ""Head"" Welch (guitar, backing vocals); and Jonathan Davis (lead vocals <a href=""https://www.last.fm/music/Korn"">Read more on Last.fm</a>",3535842,217912369,Slipknot
As Artifacts,"As Artifacts, formerly Sink This Ship!, is a post-hardcore band from Concord, California.

Sink This Ship! was initially formed in 2008, and changed their name in 2010. The present lineup includes vocalist Travis Bartosek, vocalist/guitarist Brian Anthony,  drummer/vocalist Michael Yankovich, guitarist Matt Yankovich, keyboardist Joey Webb, and bassist Stephen Mallory. Founding member Kevin Arquines left the band in mid-2012, and in early 2013, Brian Anthony was added to replace Rudy Rosatti. <a href=""https://www.last.fm/music/As+Artifacts"">Read more on Last.fm</a>",20505,177610,Within Wolves
Duunes,"https://soundcloud.com/duunes <a href=""https://www.last.fm/music/Duunes"">Read more on Last.fm</a>",6317,35157,The Young Man
Saint Motel,"Saint Motel (stylized as SAINT MOTEL) is an American indie pop band from Los Angeles whose music has been described as everything from ""dream pop"" to ""indie prog"". The band consists of A/J Jackson (lead vocals, guitar, piano), Aaron Sharp (lead guitar), Dak Lerdamornpong (bass), and Greg Erwin (drums). 

Their debut EP, ForPl, was released in 2009. The band's first full-length album, Voyeur, was released in 2012. 

Their second album, saintmotelevision, was released in 2016.  <a href=""https://www.last.fm/music/Saint+Motel"">Read more on Last.fm</a>",992517,19801940,The Happy Fits
War Of Ages,"War of Ages is a christian melodic metalcore band from Erie, Pennsylvania, formed during the summer of 2002.

The band members are Leroy Hamp (vocals), Branon Bernatowicz (guitar), Steve Brown (guitar), T.J. Alford (bass, vocals) and Alex Hamp (drums), all of whom are Christians. They played over 250 shows in 2005 with bands such as Bury Your Dead, The Acacia Strain, As I Lay Dying, and Throwdown.

They have since released their self-titled debut album War of Ages in July 2005 on Strike First Records and in February 2006 <a href=""https://www.last.fm/music/War+Of+Ages"">Read more on Last.fm</a>",98829,2267244,no data
Substratum,"Substratum is a band from Seattle, WA that plays Heavy Metal Rock 'N' Roll.

https://substratum-seattle.bandcamp.com/

https://www.facebook.com/substratumband

Amy Lee Carlson - Lead Vocals
Jonny Haynes - Guitars / Vocals 
Max Nazaryan - Guitars 
Lane Storli - Bass 
Eric Smith - Drums <a href=""https://www.last.fm/music/Substratum"">Read more on Last.fm</a>",619,7897,Skelator
