Artista,Biografia,Listeners,Playcount,Artistas Similares
UNRB,"Hailing from St. Petersburg FL, UNRB uses an electric ukulele and 
a 4-piece horn section to create a fusion of ska, rock and jazz that 
has proven tremendously popular with teens and adults alike (and even a few grandmas!). As a band that takes themselves ""just seriously enough, ""their live shows involve plenty of onstage antics, instrument changes, and a healthy dose of crowd interaction. It's this combination of talent and offbeat humor that has <a href=""https://www.last.fm/music/UNRB"">Read more on Last.fm</a>",1108,9097,Victims Of Circumstance
The Inevitables,"There are al least 2 bands with the name ""The Inevitables"".  

1.  An unsigned four piece funk-rock band based in Glen Waverley, VIC Australia. Formed from the remains of The Whoremoans, a short-lived project that consisted of William Boffa, Rohan Gilham and Steven Homer. The group disbanded when Homer relocated to Canada due to his father's work position. 
The band's current lineup consists of Tim Morton, Lincoln McGreggor-Smith, Gilham and Boffa. All of the band's members attend/have attended Huntingtower School in Mt. Waverley. <a href=""https://www.last.fm/music/The+Inevitables"">Read more on Last.fm</a>",2400,26942,Stop the Presses
Tokyo Ska Paradise Orchestra,"In the late 1980s, there was a band executing countless lives on streets and clubs of Tokyo…, their　name is TOKYO SKA PARADISE ORCHESTRA. Their dynamic yet absolute performance drew growing audiences, and so releases the first 12' vinyl record ""TOKYO SKA PARADISE ORCHESTRA"" from an indie label in 1989. The following year, gaining more and more fans, they make a major debut by the single ""MONSTER ROCK,"" and its recorded album ""SUKAPARA TOU-JYO. <a href=""https://www.last.fm/music/+noredirect/Tokyo+Ska+Paradise+Orchestra"">Read more on Last.fm</a>",38010,546792,no data
Some Ska Band," <a href=""https://www.last.fm/music/Some+Ska+Band"">Read more on Last.fm</a>",242,1592,The Abruptors
Dang!t," <a href=""https://www.last.fm/music/Dang%21t"">Read more on Last.fm</a>",254,1206,Hans Gruber And The Die Hards
Ska Makers," <a href=""https://www.last.fm/music/Ska+Makers"">Read more on Last.fm</a>",63,381,Western Special
The Planet Smashers,"Formed in 1994 in Montreal, Quebec, the Planet Smashers’ infectious pop infused melodies, rippin’ horn licks and killer live shows, quickly established them as the city’s “Kings of Ska”. They released their first album (“Self-Titled”) on Planet Smasher’s founder Matt Collyer’s own label STOMP Records and hit the road. By 1997 they were no longer a local band, but a national phenomenon, headlining shows across Canada and pushing their second record <a href=""https://www.last.fm/music/The+Planet+Smashers"">Read more on Last.fm</a>",153123,2786679,Big D And The Kids Table
4 Point 0,"4 Point 0 is a Ska/Rock band from Syracuse, NY! They have toured the Eastern US during each summer and winter since 2010, and have played with international touring acts such as Big D and the Kids Table, The Toasters, Mustard Plug, The Pietasters and Flatfoot 56. 4 Point 0 blends traditional third wave ska music with influences of rock, punk, jazz, funk, hardcore, and even classical music. The band is known for its incredible energy and stage presence, as well as its catchy melodies and tight 4-man horn line. <a href=""https://www.last.fm/music/4+Point+0"">Read more on Last.fm</a>",1407,14458,Behind Deadlines
The Selecter,"The Selecter, a ska revival band from Coventry, England, formed in the late 1970s as one of the essential bands of the British ska movement. The profilic lead singer is Pauline Black. The Selecter are known for hits as 'On My Radio', 'Too Much Pressure', 'Missing Words', 'Three Minute Hero' and 'Celebrate The Bullet'. The Selecter featured a racially mixed line up, and the name of the band is a reference to the Jamaican word for a music selecter, known elsewhere as the DJ. <a href=""https://www.last.fm/music/The+Selecter"">Read more on Last.fm</a>",201474,1915971,The Specials
Deal's Gone Bad,"What do you get when you mix the chugging rhythms of Jamaica, the energy and emotion of American Motown, and the overthe-top pub/rock of the Pogues? Now in their 14th year, Deal’s Gone Bad is touring extensively with its strongest and most consistent line-up in its history. With elements of ska, rocksteady, reggae, and American soul, DGB is sure to please on the dancefloor as well as on their fourth release to date, “The Ramblers” on Megalith and Jump Up! Records (March, 2007). <a href=""https://www.last.fm/music/Deal%27s+Gone+Bad"">Read more on Last.fm</a>",26689,311879,Stubborn All-Stars
