artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Klur,no data,no data,no data,activo
Avoure,Ukraine,no data,no data,activo
Nohan,no data,no data,no data,activo
Kideko,Brighton,no data,no data,activo
Solardo,United Kingdom,no data,no data,activo
Joseph Haydn,Austria,Rohrau,1732,activo
UK Subs,United Kingdom,London,1977,activo
Marco V,Netherlands,Heeswijk,1966,activo
LAR,Stockholm,Nottingham,no data,activo
PROFF,Moscow,Moscow,no data,activo
James Brown,United States,Barnwell,1933,activo
Kidnap,United Kingdom,no data,no data,activo
Howard Carpendale,Germany,Durban,1946,activo
Lane 8,United States,no data,no data,activo
Alex Breitling,no data,no data,no data,activo
Crowded House,Australia,Melbourne,1985,activo
Piem,Barcelona,no data,no data,activo
Leftwing : Kody,London,no data,no data,activo
Nato Medrado,Brazil,no data,no data,activo
Sébastien Léger,France,Paris,1979,activo
Lifelike,France,France,1981,activo
Genix,United Kingdom,no data,no data,activo
Crowded House,Australia,Melbourne,1985,activo
Above & Beyond,United Kingdom,United Kingdom,2000,activo
Noizu,Los Angeles,no data,no data,activo
Ranger Trucco,no data,no data,no data,activo
Bijou,France,no data,1975,activo
Mirko Hirsch,Germany,no data,no data,activo
&ME,Berlin,no data,no data,activo
Estiva,Netherlands,no data,1987,activo
Clea,United Kingdom,Northampton,2002,activo
Tlim Shug,no data,no data,no data,activo
Kolter,Köln,no data,no data,activo
ARTY,Russia,Engels,1989,activo
Machine Head,United States,Oakland,1991,activo
Kaiserdisco,Hamburg,no data,2008,activo
Kant Kino,Norway,no data,no data,activo
Tagavaka,no data,no data,no data,activo
Sonic Youth,United States,New York,1981,activo
L.GU.,no data,no data,no data,activo
Mat.Joe,Germany,no data,no data,activo
Walker & Royce,no data,no data,no data,activo
José Cid,Portugal,Chamusca,1942,activo
MANT,no data,no data,no data,activo
ZONE,Japan,Sapporo,1997,activo
Swanky Tunes,Smolenskaya oblast',Smolensk,1998,activo
J. K. Rowling,United Kingdom,Yate,1965,activo
Soft Machine,United Kingdom,Canterbury,1966,activo
Soela,Berlin,Novocherkassk,no data,activo
Nora en Pure,Switzerland,Johannesburg,1990,activo
Fisherman,France,Paris,1991,activo
Dustycloud,France,Paris,no data,activo
Sheena Easton,United Kingdom,Bellshill,1959,activo
Re.You,no data,no data,no data,activo
Kasablanca,no data,no data,no data,activo
