artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
The Beatles,United Kingdom,Liverpool,1960,activo
Charlie Puth,United States,Janesville,1991,activo
GOLDHOUSE,Chicago,no data,2012,activo
Ravyn Lenae,United States,Chicago,1999,activo
Benjamin Britten,United Kingdom,Lowestoft,1913,activo
John Williams,United States,Flushing,1932,activo
Sueco,United States,Los Angeles,1997,activo
David Gray,United Kingdom,Sale,1968,activo
Buddy Knox,United States,Happy,1933,activo
no data,no data,no data,no data,no data
Kenya Grace,United Kingdom,South Africa,no data,activo
Free,United Kingdom,London,1968,activo
Believe Sunshine,no data,no data,no data,activo
Phonoboy,Germany,München,2003,activo
OneRepublic,United States,Colorado Springs,2004,activo
Danny Elfman,United States,Los Angeles,1953,activo
Teddy Swims,United States,Conyers,1992,activo
Rusty Willoughby,Seattle,no data,no data,activo
Pat Boone,United States,Jacksonville,1934,activo
Charlie Parker,United States,Kansas City,1920,activo
Gus Dapperton,United States,no data,1997,activo
Shawn Mendes,Canada,Pickering,1998,activo
Madeline The Person,no data,no data,no data,activo
Will Tura,Belgium,Veurne,1940,activo
Kiiara,United States,Wilmington,1995,activo
Conan Gray,United States,Lemon Grove,1998,activo
Sunrise Avenue,Finland,Helsinki,2002,activo
Ultimate Pop Hits!,no data,no data,no data,activo
Trinix Remix,no data,no data,no data,activo
jxdn,United States,Texas,2001,activo
Olly Alexander,United Kingdom,Harrogate,1990,activo
Faouzia,Canada,Casablanca,2000,activo
Lil Wayne,United States,New Orleans,1982,activo
Imagine Dragons,United States,Las Vegas,2008,activo
MartyParty,United States,South Africa,no data,activo
The Ready Set,United States,Fort Wayne,1989,activo
Blue Swede,Sweden,Stockholm,1973,activo
Absinthe,United States,Tucson,no data,activo
Bash & Pop,United States,Minneapolis,1992,activo
Stephen King,United States,Portland,1947,activo
Ultimate Pop Hits!,no data,no data,no data,activo
Maude Latour,United States,no data,no data,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Landon Barker,United States,Santa Monica,2003,activo
Iggy Pop,United States,Muskegon,1947,activo
Anthem Lights,United States,Nashville,2007,activo
Laura Maire,Germany,Pfaffenhofen an der Ilm,1979,activo
Maroon 5,United States,Los Angeles,2002,activo
Donna Summer,United States,Boston,1948,activo
Jewel,United States,Payson,1974,activo
George R. R. Martin,United States,Bayonne,1948,activo
Ava Max,United States,Milwaukee,1994,activo
no data,no data,no data,no data,no data
T‐Bone Walker,United States,Linden,1910,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Ultimate Pop Hits!,no data,no data,no data,activo
ZZ Top,United States,Houston,1969,activo
Polar States,Liverpool,no data,no data,activo
Forest Blakk,Canada,Montréal,1996,activo
SMYLES,no data,no data,no data,activo
Thomas Bergersen,Norway,Trondheim,1980,activo
Sparks,United States,Los Angeles,1970,activo
Haedes,Atlanta,Atlanta,2011,activo
Dua Lipa,England,London,1995,activo
Global Deejays,Austria,no data,2004,activo
The Blue Misfits,no data,no data,no data,activo
MKTO,United States,no data,no data,activo
MaKenzie,no data,no data,no data,activo
Olivia Rodrigo,United States,Murrieta,2003,activo
ZZ Top,United States,Houston,1969,activo
The Living Strange,no data,no data,2019,activo
Jack Johnson,Hawaii,Hauʻula,1975,activo
Gorillaz,England,Essex,1999,activo
Future Feats,Los Angeles,Los Angeles,2012,activo
Bea and Her Business,England,no data,no data,activo
New Order,United Kingdom,Salford,1980,activo
David Bowie,England,Brixton,1947,activo
DELX,Calais,no data,no data,activo
Bebe Rexha,United States,New York,1989,activo
La Roux,United Kingdom,Brixton,2006,activo
Bazzi,United States,Dearborn,1997,activo
JZAC,New Hampshire,Boston,1991,activo
LANNDS,Florida,no data,no data,activo
Henry Purcell,United Kingdom,Westminster,1659,activo
Gen Verde,Italy,Incisa in Val d'Arno,1966,activo
Roxy Music,United Kingdom,London,1971,activo
20/20,United States,Tulsa,1977,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Lady Gaga,United States,Upper East Side,1986,activo
Owl City,United States,Owatonna,1986,activo
The Andrews Sisters,United States,Minneapolis,1937,activo
ShitKid,Gothenburg,Kramfors Municipality,1992,activo
BENEE,New Zealand,Auckland,2000,activo
Thirty Seconds to Mars,United States,Los Angeles,1998,activo
Patrick Rothfuss,United States,Madison,1973,activo
Doc Watson,United States,Deep Gap,1923,activo
Noor,no data,no data,no data,activo
Jonas Brothers,United States,Wyckoff,2005,activo
Kesha,United States,Los Angeles,1987,activo
Noir Désir,France,Bordeaux,1980,activo
Charlotte Link,Germany,Frankfurt am Main,1963,activo
Pain Jerk,Japan,Nagano,1963,activo
Selena Gomez,United States,Grand Prairie,1992,activo
Dereck Higgins,Omaha,Omaha,1955,activo
Colin Baker,United Kingdom,London,1943,activo
Mabel,England,Alhaurín el Grande,1996,activo
Computer Graphics,Russia,no data,no data,activo
Leon Russell,United States,Lawton,1942,activo
Choir of New College Oxford,United Kingdom,no data,1379,activo
The Jagged Edges,no data,no data,no data,activo
Maxime Le Forestier,France,Paris,1949,activo
Jenna Raine,no data,no data,no data,activo
Silk,United States,no data,1991,activo
The Beatles,United Kingdom,Liverpool,1960,activo
GABEDOESNTSLEEP,no data,no data,no data,activo
Gwen Stefani,United States,Fullerton,1969,activo
Nessa Barrett,United States,Atlantic County,2002,activo
Johnny Cash,United States,Kingsland,1932,activo
Ray Charles,United States,Albany,1930,activo
Daniel Seavey,United States,Portland,1999,activo
Phil Kieran,United Kingdom,Belfast,no data,activo
Lizzo,United States,Detroit,1988,activo
Sassydee,no data,no data,no data,activo
Killswitch Engage,United States,Westfield,1999,activo
John Holt,Jamaica,Kingston,1947,activo
"Earth, Wind & Fire",United States,Chicago,1969,activo
Tripzy Leary,no data,no data,no data,activo
Ed Askew,United States,Stamford,1940,activo
Toby Fox,United States,Boston,1991,activo
Bellevue Days,Croydon,Croydon,no data,activo
David Guetta,France,Paris,1967,activo
Nickel Creek,United States,Vista,1989,activo
Wiki,United States,New York,1993,activo
Meghan Trainor,United States,Nantucket,1993,activo
Laura Masotto,Verona,no data,no data,activo
Solomon Burke,United States,Philadelphia,1940,activo
Eterna,Brazil,no data,1995,activo
Johnny Nash,United States,Houston,1940,activo
Haley Dreis,no data,no data,no data,activo
Minority,Bratislava,Bratislava,2018,activo
Anne‐Marie,United Kingdom,Essex,1991,activo
Ellie Goulding,United Kingdom,Hereford,1986,activo
Billy Joel,United States,The Bronx,1949,activo
Instinct,no data,no data,no data,activo
Buddy Holly,United States,Lubbock,1936,activo
Aaaron,Berlin,no data,no data,activo
