artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Catbreath,no data,no data,no data,activo
Into It. Over It.,United States,Chicago,2007,activo
The Beatles,United Kingdom,Liverpool,1960,activo
As Cities Burn,United States,Mandeville,2002,activo
Lions & Lambs,United States,no data,no data,activo
Letter 7,United States,Arizona,no data,activo
Here’s to Now,North Hollywood,no data,2020,activo
Samsara,no data,no data,no data,activo
Between Oceans,Denmark,no data,no data,activo
Sueco,United States,Los Angeles,1997,activo
The Beatles,United Kingdom,Liverpool,1960,activo
The Rock Music,Draper,no data,no data,activo
Buddy Knox,United States,Happy,1933,activo
Mixtapes,United States,no data,no data,activo
BLACKSHAPE,Salt Lake City,Salt Lake City,no data,activo
Boil,Denmark,no data,2004,activo
Seer,Austria,Liezen,1996,activo
Couch Slut,United States,Brooklyn,2013,activo
Modder,Belgium,Ghent,2020,activo
I Wish We Were Robots,California,no data,2009,activo
ONE OK ROCK,Japan,Tokyo,2005,activo
Godsmack,United States,Lawrence,1995,activo
Jason Mraz,United States,Mechanicsville,1977,activo
Sincerely,Detroit,Detroit,2015,activo
We Came as Romans,United States,Troy,2005,activo
The Stone Roses,United Kingdom,Manchester,1984,activo
Tungsten,Sweden,no data,no data,activo
Honour Crest,no data,no data,no data,activo
The Animal in Me,United States,California,2012,activo
Before You Fall,United States,Auburn,2010,activo
Sentinels,New Jersey,no data,no data,activo
Alan Hull,United Kingdom,Newcastle upon Tyne,1945,activo
Over the Rhine,United States,Cincinnati,1989,activo
The Fall,United Kingdom,Prestwich,1976,activo
“Brother” Jack McDuff,United States,Champaign,1926,activo
Naut,United Kingdom,no data,no data,activo
Lower Definition,United States,no data,2002,activo
Wyldlife,no data,no data,2006,activo
Wilmette,United States,Illinois,2017,activo
Cro‐Mags,United States,New York,1982,activo
Primitive Man,United States,Denver,2012,activo
Switch,United Kingdom,London,no data,activo
RVNT,United States,Virginia Beach,2014,activo
jxdn,United States,Texas,2001,activo
Softcult,Ontario,no data,2020,activo
Rival Waves,no data,Austin,2016,activo
Rival Sons,United States,Long Beach,2008,activo
Mike Shinoda,United States,Panorama City,1977,activo
Highly Suspect,United States,Massachusetts,2009,activo
Embers in Ashes,no data,no data,no data,activo
Amyst,United States,no data,no data,activo
Omnerod,Belgium,Brussels,2009,activo
Wolves at the Gate,United States,Ohio,2008,activo
Liars,United States,Brooklyn,2000,activo
Rev Theory,United States,North Andover,2002,activo
Novelists,Paris,Paris,2013,activo
The Sun,Italy,Thiene,1997,activo
Sun Ra,United States,Birmingham,1914,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Brother Cane,United States,no data,1990,activo
Toothgrinder,Asbury Park,United States,2010,activo
Gazzoleen,Belgium,Hasselt,2001,activo
Maude Latour,United States,no data,no data,activo
All That Remains,United States,Springfield,1998,activo
SHIM,Japan,no data,no data,activo
The Beatles,United Kingdom,Liverpool,1960,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Stephen King,United States,Portland,1947,activo
Nova Charisma,United States,London,2019,activo
Outline in Color,United States,no data,no data,activo
Knot,no data,no data,no data,activo
Spirit,United States,Los Angeles,1967,activo
Rival Summers,no data,no data,no data,activo
Sátyr,Germany,no data,no data,activo
Liily,United States,no data,no data,activo
Zero‐G,United Kingdom,no data,1990,activo
Pedro the Lion,United States,Seattle,1995,activo
Skillet,United States,Memphis,1996,activo
Ki:Theory,United States,no data,no data,activo
The Band CAMINO,Nashville,Memphis,2015,activo
Antimatter,United Kingdom,no data,1998,activo
Cold Chisel,Australia,no data,1973,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Aerial,Sweden,no data,no data,activo
Amira Elfeky,Los Angeles,Los Angeles,no data,activo
Gary Clark Jr.,United States,Austin,1984,activo
Neal Morse,United States,Van Nuys,1960,activo
Coletta,United States,Atlanta,2017,activo
Not for Me,no data,no data,no data,activo
Rogue,United Kingdom,no data,no data,activo
The Beatles,United Kingdom,Liverpool,1960,activo
ORBS,United States,no data,2007,activo
The Pineapple Thief,United Kingdom,Somerset,1999,activo
Warbly Jets,Los Angeles,no data,no data,activo
Amarionette,Las Vegas,Las Vegas,2010,activo
Meet Me @ the Altar,United States,United States,2015,activo
Holy Fawn,Arizona,no data,no data,activo
Ben Rosett,Bend,no data,no data,activo
Skarlett Riot,United Kingdom,no data,2010,activo
LANNDS,Florida,no data,no data,activo
One Year Later,Lancaster,Lancaster,2012,activo
Killswitch Engage,United States,Westfield,1999,activo
Theory of a Deadman,Canada,Delta,2001,activo
Helmet,United States,New York,1989,activo
Oceanic,United Kingdom,Wirral,no data,activo
20/20,United States,Tulsa,1977,activo
Death Goals,London,no data,no data,activo
Crown the Empire,United States,Dallas,2010,activo
Paralandra,United States,Springfield,2013,activo
Therapy?,United Kingdom,Belfast,1989,activo
[no artist],no data,no data,no data,activo
Hinder,United States,Oklahoma City,2001,activo
CPM 22,Brazil,no data,1995,activo
Year of the Rabbit,United States,no data,2002,activo
Year of No Light,Bordeaux,Bordeaux,2001,activo
Games We Play,United States,Nashville,no data,activo
AC/DC,Australia,Sydney,1973,activo
Duke Ellington and His Orchestra,United States,Harlem,1927,activo
Topographies,San Francisco,San Francisco,2018,activo
Against the Current,United States,Poughkeepsie,2011,activo
Red Hot Chili Peppers,United States,Los Angeles,1983,activo
Magon,Paris,Israel,no data,activo
Mammoth WVH,United States,Los Angeles,2015,activo
We Rise The Tides,Portland,Portland,2009,activo
Settle the Sky,United States,Fremont,2006,activo
no data,no data,no data,no data,no data
Begotten,New York,New York,1997,activo
Spirit Award,Seattle,no data,2014,activo
Novo Som,Brazil,Rio de Janeiro,1982,activo
wecamewithbrokenteeth,no data,no data,no data,activo
grandson,Canada,Englewood,1993,activo
no data,no data,no data,no data,no data
Green Day,United States,Berkeley,1989,activo
Seeing Things,United States,no data,2012,activo
Mother Mother,Canada,Vancouver,2005,activo
Softspoken,Kentucky,Florence,2016,activo
Vessels,Leeds,Leeds,2005,activo
Silent Planet,Azusa,Los Angeles,2009,activo
Collide,United States,Los Angeles,1992,activo
Levels,no data,no data,no data,activo
Adventures in Odyssey,United States,no data,1987,activo
Thirty Seconds to Mars,United States,Los Angeles,1998,activo
Elitist,United States,no data,2010,activo
Rainbow Kitten Surprise,North Carolina,North Carolina,2013,activo
Shinedown,United States,Jacksonville,2001,activo
Klank,United States,no data,no data,activo
Rock Party of the Year,Netherlands,Netherlands,2023,activo
Fetch Tiger,no data,no data,no data,activo
Eldest 11,Savannah,no data,no data,activo
We Built Atlantis!,United Kingdom,no data,2011,activo
Last in Line,United States,Los Angeles,2012,activo
Robber's Roost,Ellensburg,no data,no data,activo
Jack’s Mannequin,United States,Orange County,2004,activo
Fucked Up,Canada,Toronto,2001,activo
Disciple,United States,no data,1992,activo
Rise Against,United States,Chicago,1999,activo
Megosh,no data,no data,no data,activo
Black Sabbath,United Kingdom,Birmingham,1968,activo
Missio,United States,Austin,2015,activo
Harms,no data,no data,no data,activo
My Epic,no data,no data,no data,activo
Colossus,United States,no data,no data,activo
Archetypes Collide,Phoenix,Phoenix,2013,activo
Philip Glass,United States,Baltimore,1937,activo
Year of the Locust,New York,New York,2014,activo
no data,no data,no data,no data,no data
SOiL,United States,Chicago,1997,activo
Above The Broken,United States,no data,no data,activo
MUTEMATH,United States,New Orleans,2002,activo
Pain of Salvation,Sweden,Eskilstuna,1991,activo
Riders in the Sky,United States,no data,1977,activo
Bruised but Not Broken,Charlotte,Charlotte,2009,activo
Guided by Voices,United States,Dayton,1983,activo
Theories,Seattle,no data,no data,activo
Disturbed,United States,Chicago,1996,activo
Fall Out Boy,United States,Wilmette,2001,activo
twenty one pilots,United States,Columbus,2009,activo
Camille Saint‐Saëns,France,Paris,1835,activo
Year of the Goat,Sweden,Norrköping,no data,activo
Catch the Rise,no data,no data,no data,activo
Sandrider,Seattle,no data,2008,activo
All Time Low,United States,Baltimore,2003,activo
Ten Years After,United Kingdom,London,1967,activo
Philip Glass,United States,Baltimore,1937,activo
Korn,United States,Bakersfield,1993,activo
Brighter Than a Thousand Suns,no data,no data,no data,activo
Aesop Rock,United States,Syosset,1976,activo
Wolves & Machines,no data,no data,no data,activo
Halestorm,United States,Red Lion,1998,activo
Limbs,Manila,no data,no data,activo
no data,no data,no data,no data,no data
Paramore,United States,Franklin,2004,activo
Shortly,no data,no data,no data,activo
Ashes of Soma,no data,no data,no data,activo
Currents,Newtown,Newtown,2012,activo
Yeah Yeah Yeahs,United States,New York,2000,activo
Longview,United Kingdom,Winchester,2001,activo
Stephen King,United States,Portland,1947,activo
We're Wolves,no data,no data,no data,activo
LURK,Chicago,Chicago,2017,activo
10 Years,United States,Knoxville,1999,activo
Sweet,United Kingdom,Harefield,1968,activo
Linkin Park,United States,Agoura Hills,1996,activo
ØZWALD,no data,no data,no data,activo
Motionless in White,United States,Scranton,2005,activo
To Paint With Fire,United States,no data,2012,activo
Earth Groans,South Dakota,South Dakota,2015,activo
Wallows,Los Angeles,Los Angeles,2017,activo
Muddy Waters,United States,Issaquena County,1913,activo
Silver Snakes,United States,no data,2011,activo
Periphery,United States,"Washington, D.C.",2005,activo
Dr. Dog,United States,West Grove,1999,activo
Like a Storm,Canada,Auckland,2005,activo
The Dear Hunter,United States,Providence,2005,activo
Rock Kills Kid,United States,Los Angeles,2001,activo
Slipknot,United States,Des Moines,1995,activo
Grayscale Season,Gothenburg,no data,no data,activo
Trapt,Vancouver,Los Gatos,1995,activo
Royal & the Serpent,United States,no data,no data,activo
Year of the Cobra,Seattle,no data,no data,activo
Nothingface,"Washington, D.C.",no data,1994,activo
Survive This!,no data,no data,no data,activo
A Day to Remember,United States,Ocala,2003,activo
Crosses,no data,no data,no data,activo
Briston Maroney,United States,no data,no data,activo
American Authors,United States,Boston,2006,activo
Jimmy Eat World,United States,Mesa,1993,activo
Year of the Knife,United States,no data,no data,activo
Papa Roach,United States,Vacaville,1993,activo
Opponent,Seattle,no data,2018,activo
Royal Philharmonic Orchestra,United Kingdom,London,1946,activo
P.O.D.,United States,San Diego,1992,activo
VOLA,Denmark,Copenhagen,2006,activo
[theatre],no data,no data,no data,activo
Hot Hot Heat,Victoria,Shawnigan Lake,1999,activo
Empire! Empire! (I Was a Lonely Estate),United States,Fenton,2006,activo
FACS,Chicago,Chicago,2017,activo
Cliff Richard,United Kingdom,Lakhna'ū,1940,activo
Waterparks,Houston,Houston,2011,activo
One Minute Silence,Tipperary,no data,1995,activo
Submersed,United States,Stephenville,2000,activo
Horskh,Besançon,no data,no data,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Graywave,Birmingham,no data,no data,activo
