canciones,artistas,género,tipo,año lanzamiento,año
Gravity,10 Years,rock,track,2024,2020
The Shift,10 Years,rock,track,2020,2020
Antimatter,Silent Planet,rock,track,2023,2020
Beautiful,10 Years,rock,track,2008,2020
Lobby - Rock Version,SMITH,rock,track,2024,2020
Option,✝✝✝ (Crosses),rock,track,2014,2020
The Trench,10 Years,rock,track,2024,2020
MUD,Dorothy,rock,track,2024,2020
Rise,10 Years,rock,track,2024,2020
Speechless,10 Years,rock,track,2024,2020
Intension,TOOL,rock,track,2006,2020
Your Master,The Blue Stones,rock,track,2024,2020
Sensation,✝✝✝ (Crosses),rock,track,2022,2020
Call Me,In This Moment,rock,track,2009,2020
Now Is The Time (Ravenous),10 Years,rock,track,2010,2020
Burnout,10 Years,rock,track,2018,2020
Rise,10 Years,rock,track,2024,2020
I Remember,10 Years,rock,track,2024,2020
Rivals,Adelitas Way,rock,track,2021,2020
Knife,Bad Wolves,rock,track,2024,2020
The Chain,Toothgrinder,rock,track,2018,2020
Panopticon,Silent Planet,rock,track,2021,2020
Control,Versus Me,rock,track,2021,2020
In the Den,Hum,rock,track,2020,2020
LIES,Ra,rock,track,2024,2020
If You Say So,Disciple,rock,track,2024,2020
The Reset,Highly Suspect,rock,track,2024,2020
Actions & Motives,10 Years,rock,track,2008,2020
Cadavre Exquis,✝✝✝ (Crosses),rock,track,2022,2020
Breakaway,Lit,rock,track,2024,2020
Waiting,10 Years,rock,track,2020,2020
The Recipe,10 Years,rock,track,2005,2020
Chasing The Rapture,10 Years,rock,track,2010,2020
Welcome,Shinedown,rock,track,2022,2020
Glazey,Sincerely,rock,track,2019,2020
Dying Youth,10 Years,rock,track,2008,2020
Ghosts,10 Years,rock,track,2018,2020
The Messenger,10 Years,rock,track,2018,2020
Bully,Shinedown,rock,track,2012,2020
Sleep In The Fire,10 Years,rock,track,2020,2020
Miscellanea,10 Years,rock,track,2015,2020
7 Years,Flaw,rock,track,2022,2020
Patiently - Alternate Take,10 Years,rock,track,2022,2020
Wither,Normundy,rock,track,2024,2020
Insomnia,10 Years,rock,track,2018,2020
BFBTG: Corpse Nation,Motionless In White,rock,track,2023,2020
Start Again,10 Years,rock,track,2020,2020
Cross,✝✝✝ (Crosses),rock,track,2014,2020
All Your Lies,10 Years,rock,track,2008,2020
Catacombs,10 Years,rock,track,2018,2020
Legendary,Halestorm,rock,track,2022,2020
The Wicked Ones,10 Years,rock,track,2010,2020
Delete,Shinedown,rock,track,2022,2020
Shape Shifter,Bad Wolves,rock,track,2018,2020
Picture Perfect (In Your Eyes),10 Years,rock,track,2008,2020
Ravenous,Killswitch Engage,rock,track,2019,2020
IMITATE,Liily,rock,track,2024,2020
Minus The Machine,10 Years,rock,track,2012,2020
Emergency,Red,rock,track,2023,2020
Scapegoat,Disciple,rock,track,2023,2020
Blood Red Sky,10 Years,rock,track,2018,2020
Halos,10 Years,rock,track,2018,2020
Silhouette Of A Life,10 Years,rock,track,2010,2020
Twenty Years,NOVELISTS,rock,track,2015,2020
Rock,DisHand,rock,track,2023,2020
Soma - Alternate Take,10 Years,rock,track,2022,2020
Knives - Alternate Take,10 Years,rock,track,2022,2020
Do you really wanna know?,NOVELISTS,rock,track,2022,2020
Wasteland - Alternate Take,10 Years,rock,track,2022,2020
Blur,We Came As Romans,rock,track,2015,2020
Luna,10 Years,rock,track,2015,2020
2020,Killswitch,rock,track,2020,2020
PRËY,I The Breather,rock,track,2020,2020
Writing On The Walls,10 Years,rock,track,2012,2020
Dreaming in Sepia,EarlyRise,rock,track,2024,2020
Lullaby,Tungsten,rock,track,2024,2020
C.U.L.T.,Dead Posey,rock,track,2024,2020
Spirit Breaker,LIMBS,rock,track,2022,2020
I Wish,10 Years,rock,track,2020,2020
For You,Your Favorite Color,rock,track,2024,2020
Animals,SOM,rock,track,2022,2020
Phantoms,10 Years,rock,track,2018,2020
Fix Me - Alternate Take,10 Years,rock,track,2022,2020
Poverty of Self,Currents,rock,track,2019,2020
What We've Lost,32 Leaves,rock,track,2024,2020
Home,Trapt,rock,track,2024,2020
Meant To Be,Trapt,rock,track,2024,2020
Sleeper,10 Years,rock,track,2012,2020
Gaslight,Softcult,rock,track,2022,2020
Hollow,RVNT,rock,track,2017,2020
Unholy,The Animal In Me,rock,track,2022,2020
Frame by Frame,The Honorary Title,rock,track,2006,2020
Elsa - 2020 Mix,Lilys,rock,track,1993,2020
Halos - Alternate Take,10 Years,rock,track,2022,2020
Soma,10 Years,rock,track,2012,2020
Bombshell,Halestorm,rock,track,2022,2020
Awake 24,Ra,rock,track,2024,2020
Hollow,Favorite Weapon,rock,track,2014,2020
MODERN META MEDICINE (feat. Jesse Leach of Killswitch Engage),Anti-Flag,rock,track,2023,2020
Remedy,Rev Theory,rock,track,2024,2020
Special,Halestorm,rock,track,2022,2020
Halo,Hinder,rock,track,2019,2020
Ataraxia,Team Sleep,rock,track,2005,2020
Funky,Royal Treatment Plant,rock,track,2024,2020
Unholy,The Animal In Me,rock,track,2022,2020
Your Lies,32 Leaves,rock,track,2005,2020
Halos - Alternate Take,10 Years,rock,track,2022,2020
Soma,10 Years,rock,track,2012,2020
Legendary,Halestorm,rock,track,2022,2020
Awake 24,Ra,rock,track,2024,2020
Rise Above This,Seether,rock,track,2021,2020
BITTER,As Lions And Lambs,rock,track,2019,2020
F G R B,Lower Definition,rock,track,2022,2020
Knives,10 Years,rock,track,2012,2020
The Thunder Rolls,All That Remains,rock,track,2017,2020
Triggers and Tripwires,10 Years,rock,track,2015,2020
Chasing The Rapture,10 Years,rock,track,2010,2020
Between Angels and Insects - 2020,Papa Roach,rock,track,2020,2020
Moisture Residue,10 Years,rock,track,2015,2020
Talk,Adelitas Way,rock,track,2023,2020
Now Is The Time (Ravenous),10 Years,rock,track,2010,2020
Ashes,10 Years,rock,track,2015,2020
Survivors?,10 Years,rock,track,2015,2020
Dying Youth - Alternate Take,10 Years,rock,track,2022,2020
The Wicked Ones,10 Years,rock,track,2010,2020
Safe Here In The Shade,Trapt,rock,track,2024,2020
Same Blood,Pop Evil,rock,track,2021,2020
Array,Elitist,rock,track,2010,2020
"Wait, Patiently",Sea in the Sky,rock,track,2022,2020
Custer,Slipknot,rock,track,2024,2020
