Artista,Biografia,Listeners,Playcount,Artistas Similares
The Neighbourhood,"The Neighbourhood is an American alternative rock/dark pop band that formed in Newbury Park, California, USA in August 2011. The band consists of Jesse Rutherford, Jeremy Freedman, Zach Abels, and Mikey Margott. Brandon Fried (drums) was kicked out of the band on November 15 2022 after groping allegations. Bryan Sammis (drums) left the group in January 2014.

The band released their first EP, I'm Sorry... in January 2013, where their single Sweater Weather reached #1 in the U. <a href=""https://www.last.fm/music/The+Neighbourhood"">Read more on Last.fm</a>",3022860,256282427,Jesse®
The Weeknd,"Abel Makkonen Tesfaye, popularly known as The Weeknd (born February 16, 1990 in Toronto, Ontario, Canada), is a Canadian R&B/hip-hop musician, singer-songwriter and record producer. He chose his stage name in tribute to when he was 17 years old, when, along with his friend La Mar Taylor, he dropped out of high school, took his mattress, and ""left one weekend and never came home"". However, his estranged former producer Jeremy Rose claims the name was his idea. <a href=""https://www.last.fm/music/The+Weeknd"">Read more on Last.fm</a>",4206859,728468944,Tory Lanez
Wande Coal,"Born Wande Ojosipe on the 18th of October 1985, 1st child in a family of 2 children Wande like most great musicians started singing in the teenage choir at his church. he got his break in the Nigerian entertainment industry as a dancer. He continued improving his vocal skill and got signed to Don jazzy’s Mo’ Hits records in 2006. He featured on D’banj’s Rundown/Funk You up album on singles like; Loke, tonosibe and why me.
Being signed to Mo’ Hits records he is also a member of the Mo’ Hits allstars <a href=""https://www.last.fm/music/Wande+Coal"">Read more on Last.fm</a>",82255,881759,Olamide
sub urban,"Daniel Virgil Maisonneuve (Sub Urban)  was born on October 22, 1999, in Nyack, New York to a French Canadian father and a Taiwanese mother. While raised in the suburbs of Ridgewood, New Jersey, he began producing music at the age of 15. He was trained in classical piano at the age of 6, but quit after claiming that he was ""sick of playing other people's compositions"". In the fall of 2016, Maisonneuve dropped out of high school to pursue his musical career, ""isolating"" himself to work on various demos and songs. <a href=""https://www.last.fm/music/+noredirect/sub+urban"">Read more on Last.fm</a>",647002,9399067,
Freak Slug," <a href=""https://www.last.fm/music/Freak+Slug"">Read more on Last.fm</a>",185891,1272210,"Parks, Squares and Alleys"
Jessie Reyez,"Colombian-Canadian singer-songwriter Jessie Reyez from Toronto whose unique take on pop music, accented with R&B and hip-hop influences, is reinforced by a raw vocal style that merges the deeply passionate with the stylishly theatrical. 

Reyez started singing at a young age. Inspired by her father's talent for playing acoustic guitar, and singing Colombian boleros, Jessie was destined to be a creative herself. It came naturally to Jessie, as she began writing lyrics and adopting her father's talents for the guitar. <a href=""https://www.last.fm/music/Jessie+Reyez"">Read more on Last.fm</a>",454561,7770611,Jessie Reyez & 6LACK
Lady Gaga,"Stefani Joanne Angelina Germanotta, known professionally as Lady Gaga, (born March 28, 1986 in New York, NY) is an American singer, songwriter and actress. She is known for her image reinventions and musical versatility. Gaga began performing as a teenager, singing at open mic nights and acting in school plays. She studied at Collaborative Arts Project 21, through the New York University Tisch School of the Arts, before dropping out to pursue a career in music. <a href=""https://www.last.fm/music/Lady+Gaga"">Read more on Last.fm</a>",6234450,605803563,Madonna
Sam Hunt,"Sam Lowry Hunt (born December 8, 1984 in Cedartown, Georgia, United States) is an American country singer, songwriter and former college football player. He is known for writing singles for Kenny Chesney, Keith Urban, and Billy Currington. In 2014, Hunt signed with MCA Nashville and released his debut album ""Montevallo"", which includes the number 1 Country Airplay hits ""Leave the Night On"" and ""Take Your Time"".

Sam Hunt co-wrote Kenny Chesney's 2012 hit ""Come Over"", for which he received an ASCAP award. <a href=""https://www.last.fm/music/Sam+Hunt"">Read more on Last.fm</a>",427983,8283193,Russell Dickerson
Jack Harlow,"Jackman Thomas ""Jack"" Harlow (born March 13, 1998), is an American rapper and songwriter. He is signed to Generation Now and Atlantic Records. He is also the co-founder of his own musical collective, Private Garden. He is best known for his single ""What's Poppin"", which peaked at number 2 on the Billboard Hot 100.

Harlow was born and raised in Louisville. Harlow began rapping at age 12. He and a friend used a Guitar Hero microphone and a laptop to record rhymes and songs. <a href=""https://www.last.fm/music/Jack+Harlow"">Read more on Last.fm</a>",1459674,61232245,Cordae
Melanie Martinez,"Melanie Adele Martinez (born April 28th, 1995) is an American singer-songwriter, artist, director, actress, dancer, clothing designer, producer and  photographer. 

Born in Astoria, Queens, and raised in Baldwin, New York, she first participated in the MSG Varsity Talent Show during her junior year of high school and subsequently rose to prominence in 2012 after appearing on the American television vocal talent show The Voice. She auditioned singing <a href=""https://www.last.fm/music/Melanie+Martinez"">Read more on Last.fm</a>",1770353,177976548,Jazmin Bean
