canciones,artistas,género,tipo,año lanzamiento
Cruel Summer,Taylor Swift,Pop,track,2019
Jealous,Eyedress,Pop,track,2019
Circles,Post Malone,Pop,track,2019
Cry,Cigarettes After Sex,Pop,track,2019
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Pop,track,2019
Lover,Taylor Swift,Pop,track,2019
when the party's over,Billie Eilish,Pop,track,2019
Would That I,Hozier,Pop,track,2019
Someone You Loved,Lewis Capaldi,Pop,track,2019
Bags,Clairo,Pop,track,2019
"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",A$AP Ferg,Pop,track,2019
Mrs Magic,Strawberry Guy,Pop,track,2019
YKWIM?,Yot Club,Pop,track,2019
Almost (Sweet Music),Hozier,Pop,track,2019
Kingston,Faye Webster,Pop,track,2019
Streets,Doja Cat,Pop,track,2019
The Man,Taylor Swift,Pop,track,2019
everything i wanted,Billie Eilish,Pop,track,2019
Sofia,Clairo,Pop,track,2019
Cinnamon Girl,Lana Del Rey,Pop,track,2019
Wow.,Post Malone,Pop,track,2019
bad guy,Billie Eilish,Pop,track,2019
i love you,Billie Eilish,Pop,track,2019
Watermelon Sugar,Harry Styles,Pop,track,2019
7 rings,Ariana Grande,Pop,track,2019
One Thing Right,Marshmello,Pop,track,2019
Before You Go,Lewis Capaldi,Pop,track,2019
You Need To Calm Down,Taylor Swift,Pop,track,2019
Trust Issues,Drake,Pop,track,2019
Heavenly,Cigarettes After Sex,Pop,track,2019
Looking at Me,Sabrina Carpenter,Pop,track,2019
Adore You,Harry Styles,Pop,track,2019
Right Side of My Neck,Faye Webster,Pop,track,2019
There Was This Girl,Riley Green,Pop,track,2019
you should see me in a crown,Billie Eilish,Pop,track,2019
Miss Americana & The Heartbreak Prince,Taylor Swift,Pop,track,2019
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,Pop,track,2019
Where's My Love,SYML,Pop,track,2019
Fine Line,Harry Styles,Pop,track,2019
Shameless,Camila Cabello,Pop,track,2019
Bruises,Lewis Capaldi,Pop,track,2019
Doin' Time,Lana Del Rey,Pop,track,2019
Don't Give Up On Me,Andy Grammer,Pop,track,2019
Falling,Harry Styles,Pop,track,2019
Money In The Grave (Drake ft. Rick Ross),Drake,Pop,track,2019
ONE BEER (feat. Lauren Alaina & Devin Dawson),HIXTAPE,Pop,track,2019
"Spooky, Scary Skeletons - Undead Tombstone Remix",Andrew Gold,Pop,track,2019
"thank u, next",Ariana Grande,Pop,track,2019
Mount Everest,Labrinth,Pop,track,2019
