artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Bracket,United States,Forestville,1992,activo
PEARS,New Orleans,New Orleans,2014,activo
The Players Band,United States,Baltimore,1999,activo
Faintest Idea,United Kingdom,King's Lynn,no data,activo
Lord Creator,Jamaica,San Fernando,1935-08-21,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Bite Me Bambi,Orange County,no data,2018-07-14,activo
Left Alone,Los Angeles,no data,1996-05,activo
Los Abuelos de la Nada,Argentina,Buenos Aires,1968,activo
Bessie Smith,United States,Chattanooga,1894-04-15,activo
Kill Lincoln,United States,no data,2008,activo
NOFX,United States,Los Angeles,1983,activo
Masked Intruder,United States,Madison,2010,activo
La Fúmiga,Comunidad Valenciana,Alzira,no data,activo
Лампасы,Moscow,Moscow,2002-07-12,activo
Los Enanitos Verdes,Argentina,Mendoza,1979,activo
The Bouncing Souls,United States,New Brunswick,1988,activo
Goldfinger,United States,Los Angeles,1994,activo
The Beatles,United Kingdom,Liverpool,1960,activo
ChaseR,Astrakhan,no data,no data,activo
Grateful Dead,United States,Palo Alto,1965,activo
Strike Anywhere,United States,Richmond,1999,activo
We Are the Union,Los Angeles,Ann Arbor,2005-08,activo
Death by Stereo,United States,Orange County,1996,activo
Crazy Horse,United States,Los Angeles,1969,activo
La Mosca Tsé-Tsé,Argentina,no data,1995,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Bersuit Vergarabat,Argentina,no data,1987,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Adhesivo,no data,no data,no data,activo
The Beatles,United Kingdom,Liverpool,1960,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Derrick Morgan,Jamaica,no data,1940-03-27,activo
Alton Ellis,Jamaica,Trenchtown,1938-09-01,activo
Tequila and the Sunrise Gang,Germany,Germany,2001,activo
face to face,United States,Victorville,1991,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Kameleba,Argentina,Villa Mercedes,2001,activo
Western Standard Time Ska Orchestra,Los Angeles,no data,no data,activo
Panteón Rococó,Mexico,no data,1995,activo
Rico Rodriguez,Jamaica,La Habana,1934-10-17,activo
Omnigone,California,no data,no data,activo
The Beatles,United Kingdom,Liverpool,1960,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Desmond Dekker,Jamaica,Saint Andrew,1941-07-16,activo
Inspector,Mexico,Monterrey,1995-11,activo
Riskee and The Ridicule,no data,no data,no data,activo
Slick Shoes,United States,Palmdale,1994,activo
Mango,Italy,Lagonegro,1954-11-06,activo
Los Cafres,Argentina,Buenos Aires,1987,activo
Screeching Weasel,United States,Chicago,1986,activo
Hightime,Adelaide,no data,2009,activo
Bad Cop/Bad Cop,United States,Los Angeles,2011,activo
Alpheus,Jamaica,London,no data,activo
Cosmic Shuffling,Switzerland,Genève,no data,activo
Anti‐Flag,United States,Pittsburgh,1988,activo
The Lawrence Arms,United States,Chicago,1999,activo
Los Caligaris,Argentina,Córdoba,1997-08-24,activo
Duke Ellington and His Orchestra,United States,Harlem,1927,activo
Swingin’ Utters,California,Santa Cruz,1987,activo
Alkaline Trio,United States,McHenry,1996-12,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Just Say Nay,London,no data,2015,activo
The Suicide Machines,United States,Detroit,1991-03,activo
Bad Religion,United States,Los Angeles,1980,activo
I Musici,Italy,Roma,1952,activo
DIR EN GREY,Japan,Osaka,1997-02,activo
Kotardo,Mexico,no data,1994,activo
The Beatles,United Kingdom,Liverpool,1960,activo
The Steady 45's,Los Angeles,Los Angeles,2012,activo
Tsunami Bomb,United States,Petaluma,1998,activo
The JB Conspiracy,United Kingdom,Guildford,1999,activo
Dr. Ring-Ding,Germany,Münster,1970-06-02,activo
Less Than Jake,United States,Gainesville,1992,activo
Dope,United States,Villa Park,1997,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Los Prisioneros,Chile,Chile,1982,activo
Mephiskapheles,United States,New York,1990,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Mest,United States,Blue Island,1996,activo
Kapanga,Argentina,no data,1989,activo
Chencha Berrinches,South Gate,no data,1996,activo
Victor Rice,United States,Syosset,1967-04-17,activo
The Beat,United Kingdom,Birmingham,1979-03,activo
El Natty Combo,Argentina,no data,no data,activo
Millie Manders & The Shutup,London,no data,2015,activo
Zebrahead,Orange County,La Habra,1996,activo
Something to Do,Milwaukee,Milwaukee,no data,activo
Toots & The Maytals,Jamaica,Kingston,1963,activo
Victims of Circumstance,United States,no data,2005,activo
Balkan Paradise Orchestra,no data,no data,no data,activo
The Offspring,United States,Huntington Beach,1984,activo
Los Auténticos Decadentes,Argentina,no data,1986,activo
Mad Caddies,United States,Solvang,1995-08,activo
Begoña Bang-Matu,Spain,no data,no data,activo
Voodoo Glow Skulls,United States,Riverside,1988,activo
Call Me Malcolm,United Kingdom,no data,no data,activo
MxPx,United States,Bremerton,1992-06-30,activo
Rehasher,United States,Gainesville,2002,activo
Bad Religion,United States,Los Angeles,1980,activo
Juantxo Skalari,no data,no data,no data,activo
Klub,Argentina,no data,no data,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Descendents,United States,Manhattan Beach,1978,activo
Nonpalidece,Argentina,Tigre,1996,activo
Maldita Vecindad y Los Hijos del Quinto Patio,Mexico,Ciudad de México,1985,activo
[spunge],United Kingdom,Tewkesbury,1997,activo
Bob Marley & The Wailers,Jamaica,Kingston,1970-12,activo
Half Past Two,California,no data,no data,activo
Sekta Core,Mexico,Ciudad López Mateos,1994,activo
Sublime,Long Beach,Long Beach,1986,activo
Los Estrambóticos,Mexico,no data,1992,activo
The Beatles,United Kingdom,Liverpool,1960,activo
The Best of the Worst,United States,no data,no data,activo
Cut Capers,United Kingdom,no data,no data,activo
