Artista,Biografia,Listeners,Playcount,Artistas Similares
Bracket,"There are two artists which use this name:
1. A punk band from the United States
2. A rap group from Nigeria

1. Bracket is a melodic punk band from Forestville, California, originally signed to Caroline Records. Their original, smooth sound led them to associate with Fat Wreck Chords, producing several albums and EPs. In 2006, they debuted Requiem through Takeover Records.

2. Bracket is a hiphop duo from Nigeria. Yori Yori is a hit from their album Yori Yori. Yori Yori means happiness, it describes a positive feeling. <a href=""https://www.last.fm/music/Bracket"">Read more on Last.fm</a>",70440,806167,Frenzal Rhomb
Pears,"At only 8 months old, PEARS (all caps, no ""the"") is New Orleans' newest punk band, and have come from deep within the voodoo juju gris gris swamps of the French Quarter to give you fleas/scabies/bedbugs. Their mixture of hardcore riffs, pop-punk melodies, and sludgy breaks creates a sound that belongs to them, only them, shut up.

PEARS released their critically acclaimed album, ""Go To Prison"", in June 2014, and was released on vinyl in September 2014 via Ryan Young's (Off With Their Heads) podcast/label <a href=""https://www.last.fm/music/Pears"">Read more on Last.fm</a>",31104,606340,Direct Hit!
The Players Band,"The Players Band is an 8-piece ska band formed in Baltimore in 1999. The Players' musical style combines ska, rock, and reggae, and is characterized by the use of upbeat horns and percussion. 

The band is made up of:
 Dan Schneider (Guitar, Vocals)
Andy Schneider (Drums,  Manager)
Mike Gorman (Sax)
Dave Blackstone (Trombone, back-up vocals)
Nick Reider (Trumpet, back up vocals)
Selector Pablo Fiasco (Keyboard)
Joe Ross (Bass guitar)
Mark Leary
 <a href=""https://www.last.fm/music/The+Players+Band"">Read more on Last.fm</a>",500,4400,Stubborn All-Stars
Faintest Idea,"Playing anywhere and everywhere from squats to bars to festival main stages and drawing inspiration from bands such as The Specials, The Filaments & Operation Ivy this is angry political commentary that you can shout along to while stomping your feet.
Faintest Idea take the bouncing beat of 2 Tone Ska and smash it over the head with fast, angry UK Punk. Hailing from the East Anglian region of Britain the rabble rousing political lyrics are shouted over layers of catchy brass lines and heavy boot stomping beats. <a href=""https://www.last.fm/music/Faintest+Idea"">Read more on Last.fm</a>",5615,118057,Tyrannosaurus Alan
Lord Creator,"Lord Creator (born Kentrick Patrick in San Fernando, Trinidad and Tobago on 21 August 1935; died 30 June 2023) was a Trinidadian-born calypso, R&B, ska, and rocksteady artist who moved to Jamacica in 1959. Remembered for writing and recording the song ""Kingston Town"" (later recorded by British group UB40), Lord Creator was an important and positive ""outside"" influence during the early development of the Jamaican music scene. 

He started as a calypso singer under the name Lord Creator. <a href=""https://www.last.fm/music/Lord+Creator"">Read more on Last.fm</a>",55249,234240,The Gaylads
The Silvertones,"There are multiple artists with that name: 
1. The Silvertones is a Jamaican reggae group,
2. The Silvertones is a Texas Blues band
3. The Silvertones is a blues band from Cologne, Germany
4. The Silvertones is the incorrect tag for the Singapore band The Silverstones. Unfortunately Last.fm automatically redirects the correct name tag for this band to the incorrect name tag The Silvertones.

1. The Silvertones (who also recorded as The Musketeers and The Muskyteers) were a Jamaican reggae harmony group formed in 1964 <a href=""https://www.last.fm/music/The+Silvertones"">Read more on Last.fm</a>",64969,283402,The Heptones
Bite Me Bambi,"Hailing from Southern California, Bite Me Bambi brings sounds reminiscent of British 2 Tone and 3rd wave ska into the 21st century. With energetic songs and pedigree musicianship, BMB gets the crowd on their feet and dancing. Comprised of members from some of your favorite ska bands (My Superhero, Save Ferris, Starpool). This new group breathes fresh life to a genre that may have originated in Jamaica, and honed in Britain, but perfected in the haze, blight, glamour, and beauty of the Southland.

https://www.bitemebambi.com/ <a href=""https://www.last.fm/music/Bite+Me+Bambi"">Read more on Last.fm</a>",4743,63050,Backyard Superheroes
Left Alone,"Left Alone is a Ska Punk band from Wilmington, California. They were formed in May 1996 by lead vocalist/guitarist Elvis Cortez. Cortez formed his own label, Smelvis Records, to release Left Alone's records, and has since expanded the label to include numerous other underground bands. Cortez was also the owner of the PCH Club in Wilmington, which is now defunct. Left Alone's music has ska influences, and the band is notable for adhering to a do it yourself ethic <a href=""https://www.last.fm/music/Left+Alone"">Read more on Last.fm</a>",65259,782870,Street Dogs
Los Abuelos de la Nada,"Los Abuelos de la Nada is a band from Buenos Aires, Argentina formed orginally in 1967 by Miguel Abuelo but disbanded in 1969. After a long journey through Europe, Miguel Abuelo returns to Argentina and reforms the band in 1981. The new band had Abuelo as lead singer, Cachorro López on bass, Andrés Calamaro on vocals and keyboards, Gustavo Bazterrica on guitar, Daniel Melingo on sax, and Polo Corbella on the drums.
Charly García took the band under his wing after dissolving Serú Girán <a href=""https://www.last.fm/music/Los+Abuelos+de+la+Nada"">Read more on Last.fm</a>",240226,3189301,Andrés Calamaro
HEY-SMITH,"Official Web Site | MySpace  | Twitter |  Youtube

Bio:
HEY-SMITH are consisted of 6 members.
Our sound is like party rock mixed brass!!
Please check out our music and tell us what you think.
Music has no Borders!!!!

Members:
SHUHEI IGARI (Vo&Gt)
MITSURU SADO (Sax)
TASK-N (TASUKU IKEGAWA) (Dr)
YUJI FUSISITA (Vo&Ba)
KANASU (SUMIE KANAZAWA) (Tb)
IIKAWAKEN (KEN IIKAWA) (Tp)

ex. members :
HIROTSUGU SAKIMUKI (Vo&Ba)
IORI NAKAMURA (Tp) <a href=""https://www.last.fm/music/HEY-SMITH"">Read more on Last.fm</a>",18986,603516,TOTALFAT
Kill Lincoln,"Kill Lincoln is a ska/punk band based in Washington, DC.  They have opened for such acts as Streetlight Manifesto, Westbound Train, Reel Big Fish, Less than Jake, Big D & The Kids Table, The Pietasters, The Slackers, and The Aggrolites. They look forward to playing your bar/basement/backyard in the future.  Current members include Mike Sosinski, Matt ""Food"" Ellis, Tyler Rodgers, Drew Skibitsky, Yasutaka Umemoto, CJ Uy <a href=""https://www.last.fm/music/Kill+Lincoln"">Read more on Last.fm</a>",21183,494734,We Are the Union
NOFX,"NOFX is a punk rock band from Los Angeles, California, United States, formed in 1983. The original lineup included singer/bassist Fat Mike, drummer Erik Sandin, and guitarist Eric Melvin. Since 1991, the lineup has remained the same, with El Hefe playing guitar and trumpet. They have released 14 full-length studio albums, 15 EPs, 2 live albums, and many 7"" singles. The group has sold over 6 million records worldwide, making them one of the most successful independent acts of all time. <a href=""https://www.last.fm/music/NOFX"">Read more on Last.fm</a>",1278272,70812606,Lagwagon
Masked Intruder,"Straight outa Rikers. Straight outa Cook County, straight outa that prison in Louisiana that everyone says is horrible, but I can’t be bothered to Google, it’s MASKED INTRUDER, four melodious felons in ski masks with rap sheets, matching converse and some of the catchiest tunes this side of Johnny Cash, Live in Folsom Prison, and they’re coming at you with their second full length, the semi eponymously titled M.I., scheduled to break out on Fat Wreck Chords on May 27, 2014.  <a href=""https://www.last.fm/music/Masked+Intruder"">Read more on Last.fm</a>",52944,1819495,Teenage Bottlerocket
La Fúmiga," <a href=""https://www.last.fm/music/La+F%C3%BAmiga"">Read more on Last.fm</a>",6441,248001,Figa Flawas
Лампасы,"Elysium-family band from Russia.

Positive, cool rock.

Discography:

2006 - ""Лампаццирия"" (Lampacciriya)
2005 - ""Нам нужны моря и океаны"" (Nam nuzni morya i okeani) (We need seas and oceans)
2004 - ""Элизиум Family"" (Elysium family)
2008 - ""Молодые Хулиганы"" (Molodie huligani) (Young hooligans)
2009 - ""Марафон""

 <a href=""https://www.last.fm/music/+noredirect/%D0%9B%D0%B0%D0%BC%D0%BF%D0%B0%D1%81%D1%8B"">Read more on Last.fm</a>",34138,859679,Ска'N'ворд
Los Enanitos Verdes,"The band started in 1984, with Marciano Cantero (bass guitar, keyboards and vocals), Felipe Staiti (guitar) and Daniel Piccolo drums. That same year, they performed throughout the Cuyo region. Later they traveled to Buenos Aires to record a demo, with unusable results that were never released. In spite of this failure, they continued doing shows in Mendoza and in Buenos Aires.

In 1984 the band added two new members: Sergio Embroni (guitar and vocals) and Tito Dávila (keyboard). <a href=""https://www.last.fm/music/+noredirect/Los+Enanitos+Verdes"">Read more on Last.fm</a>",241745,5046015,
