Artista,Biografia,Listeners,Playcount,Artistas Similares
Klur," <a href=""https://www.last.fm/music/Klur"">Read more on Last.fm</a>",84346,578731,Polar Inc.
Avoure,"Ukrainian deep house dynamo, Avoure
Avoure made his advantageous emergence earlier this year alongside the This Never Happened life-giver himself, Lane 8, for their effervescent collaborative single, “Let Me.” U, it appears, has been a long while in the making–seeing as Lane 8 has repeatedly spliced offerings from the project into his recent seasonal mixes, as he has done to bolster a sundry of other burgeoning label talent as of late, most notably, with Khåen. <a href=""https://www.last.fm/music/Avoure"">Read more on Last.fm</a>",70761,635068,Lane 8
Kideko,"Brighton-hailing producer Kideko unleashed a huge club banger in the shape of Crank It, Woah! in 2016 which became a get out of jail card for DJ’s all over the worl for the whole of the summer and beyond. 

He has gathered critical acclaim and big support for his productions from Oliver Heldens, The Magician, Blonde, David Guetta, Fatboy Slim, Gorgon City, Danny Howard, Mistajam, Pete Tong and Annie Mac, who made Crank It her ‘Hottest Record In The World’…twice! <a href=""https://www.last.fm/music/Kideko"">Read more on Last.fm</a>",100507,512631,Tough Love
Solardo,"Hailing from Manchester, production duo Mark Richards & James Eliot, collectively known as Solardo, are continuing the city’s rich heritage in house music.The prolific duo’s meteoric rise is testament to their hard work in the studio and their infectious energy in the club. A slew of releases via imprints like Viva, and elrow helped rocket them to their first Beatport Number 1 with their breakthrough record on Hot Creations, ‘Tribesmen’. Since then <a href=""https://www.last.fm/music/Solardo"">Read more on Last.fm</a>",107112,713542,Mark Knight
joseph ray,"joseph ray is a deep house  artist from the UK <a href=""https://www.last.fm/music/joseph+ray"">Read more on Last.fm</a>",18608,140713,Marsh
Avante (UK)," <a href=""https://www.last.fm/music/Avante+(UK)"">Read more on Last.fm</a>",474,1636,Eddy M
Marco V,"From well-known tracks like 'Indicator', 'Simulated' and 'Godd' through to present-day productions such as 'Second Bite', 'More Than A Life Away' and 'Red Blue Purple', and his successful updates of widely regarded classics such as 'Café Del Mar' and 'Loops & Tings Relooped', Marco V's discography is considerably extensive. On the decks he develops his personal style, incorporating anything from electro to techno. Travel the globe and you'll be hard-pushed to find a major club that hasn’t served as his host. <a href=""https://www.last.fm/music/Marco+V"">Read more on Last.fm</a>",246276,1713744,Marcel Woods
Lar,"LAR, real name Matt Larden (formerly known as Matteblack) is a house music producer and DJ from the UK.

LAR came on to the scene in 2021 with his organic house release ""Flawed"" through Monstercat Silk. With only a short time in music production he has secured himself as someone to look out for in the near future. <a href=""https://www.last.fm/music/Lar"">Read more on Last.fm</a>",15999,82175,Cephas Azariah
PROFF,"Real Name: Vladimir Ershov (Владимир Ершов) is a progressive house DJ & producer from Moscow, Russia signed to a UK record label Anjunabeats/Anjunadeep.

PROFF's earlier releases include ""My Personal Summer"" which was featured on CD1 of Anjunabeats Vol.6 and ""Aguilas"" which has been played lately in numerous Above & Beyond dj sets and podcasts. 

He collaborated with his fellow countryman, Mango, to release the track ""5th in Blue"", which had two separate remixes from both artists. <a href=""https://www.last.fm/music/PROFF"">Read more on Last.fm</a>",63383,527838,Jaytech
Spencer Brown,"


Based in San Francisco, 24-year-old Spencer Brown creates forward-thinking dance music that defies quick-shifting industry trends, carving his fresh take on the progressive space by creating earworms that incorporate authenticity with accessibility.After Above & Beyond discovered Spencer through his graceful 2014 debut release “Chalice EP” on Avicii’s LE7ELS (garnering over 1.5 million listens), a string of successful EPs on their legendary Anjunabeats label led to his 2018 debut album “Illusion of Perfection <a href=""https://www.last.fm/music/Spencer+Brown"">Read more on Last.fm</a>",61520,877184,Tinlicker
Danny Howard," <a href=""https://www.last.fm/music/Danny+Howard"">Read more on Last.fm</a>",28165,111708,TUFF LONDON
Kidnap,"1.  Kidnap - Bollywood movie - Soundtrack of this film is composed by Pritam . Please check your tags. Thank you.

2. French punk from Blois. They were on the most important compilation ever: Welcome to 1984.

3. Kidnap Kid's new name. <a href=""https://www.last.fm/music/Kidnap"">Read more on Last.fm</a>",129740,1131533,Ben Böhmer
Lane 8,"San Francisco-based house producer Lane 8 (real name: Daniel Goldstein) made quite a splash when The Magician played his debut single, “Don’t Want You Back”, in the 23rd installment of the wildly popular Magic Tape series. The follow-up single, titled ‘Dusty’, surpassed all expectations, racking up diverse DJ support from the UK’s Jody Wisternoff and Kidnap Kid to California’s Viceroy and Geisha Twins. From there, a 3-track EP, reworks of Fleetwood Mac and Brandy <a href=""https://www.last.fm/music/Lane+8"">Read more on Last.fm</a>",324909,7432148,Le Youth
Classmatic,"Classmatic is a Brazilian DJ & Producer with strong influences from Hip Hop, Breaks, Acid and Chicago House bringing originality and something unique and energetic in his sounds. 

He has released tracks on labels such as: Solid Grooves Raw, Hottrax, Deeperfect and many more.. Supported by artist such as: Jamie Jones, The Martinez Brothers, Loco Dice, Michael Bibi
and many more! <a href=""https://www.last.fm/music/Classmatic"">Read more on Last.fm</a>",10959,64108,Cour T.
Alex Breitling," <a href=""https://www.last.fm/music/Alex+Breitling"">Read more on Last.fm</a>",17749,72029,L.GU.
House Music 2021," <a href=""https://www.last.fm/music/House+Music+2021"">Read more on Last.fm</a>",198,3056,Gym Motivation DJ Team
Junior Jack,"Vito Lucente, better known as Junior Jack, is a house music producer and DJ, born in Italy, but resident in Belgium. He is better known for the singles ""My Feeling"", ""Thrill Me (Such A Thrill)"", ""E Samba"", ""Stupidisco"" and ""Da Hype"", the latter featuring vocals by Robert Smith from The Cure.

In 1995, he abandoned Eurodance and adopted the name Mr. Jack (which would later morph into Junior Jack), dabbling in house music. He entered the UK Top 40 with the singles ""My Feeling"" <a href=""https://www.last.fm/music/Junior+Jack"">Read more on Last.fm</a>",384356,2372568,Armand van Helden
Piem,"After being exposed to House music of the 90's and early 2000's, Barcelona based Piem was destined to journey into the world of underground music. These early musical experiences helped to shape Piem into a firm favourite on the Barcelona club scene with a residency at W.

Meanwhile, locking himself away in his studio honing his sound, Piem's dedication continues to pay off with releases on well revered labels; Knee Deep in Sound, Crosstown Rebels, Moon Harbour, DFTD, ... <a href=""https://www.last.fm/music/Piem"">Read more on Last.fm</a>",18083,71065,Angelo Ferreri
LEFTWING : KODY,"Since forming in 2012, Leftwing & Kody have gone on to become two of the UK’s finest exports. Both Mixmag and DJ Mag named them as ones to watch a mere year after they paired up, with DJ Mag even nominating them for ‘Best Breakthrough DJ’ in their Best of British Awards. Since then the duo have gone on to present a monthly Rinse FM show, earn residencies at Fabric (London) and Sankeys (Ibiza), as well as releases on Hot Creations, VIVa, Truesoul, Mobilee and Knee Deep In Sound, as well as their own renowned imprint Lost Records. <a href=""https://www.last.fm/music/LEFTWING+:+KODY"">Read more on Last.fm</a>",65577,384322,Matt Guy
Nato Medrado," <a href=""https://www.last.fm/music/Nato+Medrado"">Read more on Last.fm</a>",7389,23711,Huminal
Sébastien Léger,"The son of two professional musicians, for 10 years Sébastien attended the academy of music learning technique and musical theory on piano and drums. Soon he began visiting record stores, where he was introduced to a new world of sounds and styles. What he liked most was what he heard from the likes of Daft Punk and other dance electronic music pioneers, and before long he stepped behind the turntables. In 1998 he started creating his own productions <a href=""https://www.last.fm/music/+noredirect/S%C3%A9bastien+L%C3%A9ger"">Read more on Last.fm</a>",71709,397830,Roy RosenfelD
Genix,"Real Name: Damion Houchen

Genix started producing records many years ago and gained his first record deal when he was just 18. 

His love of dance music and determination to get his unique sound rocking dance floors has led to him DJing across the UK and trotting the globe with his records, rubbing shoulders with many a-list DJs on the way. 

Gaining support with his productions from all the major DJ's Genix has gained a hat full of recording contracts, along with establishing his own record label.  <a href=""https://www.last.fm/music/Genix"">Read more on Last.fm</a>",62328,721771,Oliver Smith
Deviu,"DEVIU Rafael Lasso (better known as Deviu) is a Colombian Dj/Producer born in Pasto, 1998. He began producing electronic music in 2014. After studying audio and sound production in Medellin, Colombia, this young composer of different styles of the genre started his project as RL Deviu, 
producing Chill Out and Ambient music.
He began producing electronic music in 2014. After studying audio and sound production in Medellin, Colombia, this young composer of different styles of the genre started his project as RL Deviu <a href=""https://www.last.fm/music/Deviu"">Read more on Last.fm</a>",5406,24525,ppdee
Above & Beyond,"Above & Beyond is a British trance music group formed in 2000 in London, United Kingdom and consists of the members Jono Grant, Tony McGuinness, and Paavo Siljamäki.

The trio are popular in the electronic dance music scene for their forward-thinking uplifting trance productions and collaborations with renowned vocalists. They have their own record label, Anjunabeats, which releases trance & progressive music, and they also host their own weekly <a href=""https://www.last.fm/music/Above+&+Beyond"">Read more on Last.fm</a>",789688,23404211,Sunny Lax
nOIZU,"Los Angeles based Noizu is quickly climbing through the ranks of house music. Making his debut on the Chris Lake and Skrillex curated ‘HOWSLA’ in 2017 with ‘Lasers’ before catching the eyes and ears of French label boss Tchami. His follow up release saw the Jungle EP, an instant live anthem supported by Diplo, Oliver Heldens, A-Trak, Jauz, Malaa and more.

2018 started with singles ‘LFO’ and ‘Wavey’, gaining huge support from Sirius / Diplo Revolution. The latter in particular receiving over 200 plays. <a href=""https://www.last.fm/music/nOIZU"">Read more on Last.fm</a>",218089,1872910,
Ranger Trucco,"Ranger Trucco is one of house music’s fastest-rising talents. Combining effortless lyricism with infectious basslines, he wasted zero time cultivating a truly unique sound that resonates with electronic music fans globally. 

Both producer & vocalist - Ranger refused to let growing up 4 hours north of the nearest nightlife impede his plans of a future completely immersed in dance music culture. 

With performances at festivals and clubs nationwide on the horizon, it’s only up from here. <a href=""https://www.last.fm/music/Ranger+Trucco"">Read more on Last.fm</a>",15328,91996,Kyle Walker
Mirko Gorelli," <a href=""https://www.last.fm/music/Mirko+Gorelli"">Read more on Last.fm</a>",111,211,
&ME,"Real Name: André Boadu, DJ and producer from Berlin, Germany. 

When one could assume, &ME entered the House and Techno world somewhat out of the blue, it is due to his sublime modesty that’s already captured in his alias. Coming from Hamburg to Berlin in 2004 his talent was soon recognized by folks like DJ Hell or DJ T. who hired him as their co-producer. 
Besides, he was playing the clubs (national and international) all week every week and putting his effort in remixes for the likes of Roxy Music, Tiefschwarz or Anthony Rother. <a href=""https://www.last.fm/music/&ME"">Read more on Last.fm</a>",122561,951952,Rampa
