Artista,Biografia,Listeners,Playcount,Artistas Similares
The Marías,"Formed in Los Angeles in late 2016, The Marías are a smooth rendezvous of jazz percussion, hypnotic guitar riffs, smoke- velvet vocals and nostalgic horn solos, there’s something undeniably sensual in the group’s dreamlike fusion of jazz, psychedelia, funk and lounge.

Vocals/guitar – Maria
Drums/vox/producer – Josh
Lead guitar/vox – Jesse Perlman
Bass – Carter Lee
Keys – Edward James <a href=""https://www.last.fm/music/The+Mar%C3%ADas"">Read more on Last.fm</a>",1257844,59432272,Clairo
Charlie Puth,"Charles Otto Puth Jr. is an American singer, songwriter and record producer. His initial exposure came through the viral success of his song videos uploaded to YouTube.

Puth initially signed with the record label eleveneleven after performing on The Ellen DeGeneres Show, while songwriting and producing for other artists. With primary intent on a solo career, Atlantic Records and Artist Partner Group eventually sought the artist and released his debut single, ""Marvin Gaye"" (featuring Meghan Trainor), in 2015. <a href=""https://www.last.fm/music/Charlie+Puth"">Read more on Last.fm</a>",1818748,106522294,VaultBoy
Goldhouse,"Grant Harris, also known by his stage name Goldhouse, is an American DJ, producer, singer and songwriter, based in Chicago. He previously released music as Breathe Electric. <a href=""https://www.last.fm/music/Goldhouse"">Read more on Last.fm</a>",81177,616567,Cash Cash
Ravyn Lenae,"Ravyn Lenae Washington (born January 22, 1999) is an American R&B singer-songwriter from Chicago who is currently signed to Atlantic Records and the Three Twenty Three Music Group. She is also a member of the musical collective Zero Fatigue. Her debut EP, Moon Shoes EP, was released independently in 2015 and reissued by Atlantic Records in 2016. Her follow-up EP, Midnight Moonlight EP, was released in 2017. In addition to performing at several music festivals, Lenae has also toured with SZA on her Ctrl Tour and Noname on her Telefone Tour. <a href=""https://www.last.fm/music/Ravyn+Lenae"">Read more on Last.fm</a>",538898,12602281,Solange
Alec Benjamin,"After getting dropped by Columbia Records at 18 years old, singer-songwriter Alec Benjamin built a following by playing in parking lots outside of Shawn Mendes and Troye Sivan concerts. The Phoenix, Arizona native caught the attention of Jon Bellion, earning a songwriting credit on Bellion’s debut album and later joined him on tour.

To build on the momentum, Benjamin began uploading new songs to his YouTube channel at a rapid clip and eventually earned a viral hit with “I Built a Friend” and a deal with Atlantic Records. <a href=""https://www.last.fm/music/Alec+Benjamin"">Read more on Last.fm</a>",1051398,37590293,Nico Collins
Nala Williams," <a href=""https://www.last.fm/music/Nala+Williams"">Read more on Last.fm</a>",212,809,Ashley Craig
Sueco,"William Schultz (b. January 28, 1997), better known by his stage name Sueco, (previously Sueco The Child), is an American rapper and producer coming from Los Angeles, California.

Sueco started gaining attention by uploading various videos on Instagram of him making beats out of many different things, but he didn’t reach the mainstream attention until his hit single “fast” (originally released on April 1, 2019) blew up out of no where due to it going viral on TikTok. <a href=""https://www.last.fm/music/Sueco"">Read more on Last.fm</a>",276526,11404074,MOD SUN
Lilly Gray," <a href=""https://www.last.fm/music/Lilly+Gray"">Read more on Last.fm</a>",493,1936,Don Blaine
Knox,"There are several artists/acts called Knox

1. Knox is British punk rock musician Ian M. Carnochan (born 4 September 1945 in Cricklewood, London, United Kingdom), who is perhaps best known as a founding member of British punk vband The Vibrators, but he also records under his own moniker. Born in London, he spent his formulative years in Cricklewood and then Watford, where he became interested in the guitar at the age of thirteen. He was in various school bands <a href=""https://www.last.fm/music/Knox"">Read more on Last.fm</a>",121710,2063376,Beauty School Dropout
4FOXSAKE," <a href=""https://www.last.fm/music/4FOXSAKE"">Read more on Last.fm</a>",934,18161,Who On Earth
Kenya Grace,"Kenya Grace Johnson is an English musician. She is best known for her 2023 single ""Strangers"", which reached number-one in the UK Singles Chart. She is signed with Warner Records. <a href=""https://www.last.fm/music/Kenya+Grace"">Read more on Last.fm</a>",724448,9665147,Issey Cross
EDM Royalty Free DJs," <a href=""https://www.last.fm/music/EDM+Royalty+Free+DJs"">Read more on Last.fm</a>",188,8021,Royalty Free Dance DJs
Believe Sunshine," <a href=""https://www.last.fm/music/Believe+Sunshine"">Read more on Last.fm</a>",178,300,The Malibus Bro'
Phonoboy,"Münchner Indie-Band mit Wave-, Sixties- und Elektropop-Einflüssen – meist in französischer, teils auch in englischer und deutscher Sprache. Bekannt geworden sind sie mit ihrem Club-Hit C'est Ma Vie, der auch auf dem ersten French Cuts-Sampler (Panatomic) erschien. Ihr erstes Album Très Chic, Trashig wurde für den Preis der deutschen Schallplattenkritik nominiert und von mehreren Radiostationen zum Album des Monats gewählt. Mit C'est ma vie <a href=""https://www.last.fm/music/Phonoboy"">Read more on Last.fm</a>",3296,16959,Crash Tokio
OneRepublic,"OneRepublic is an American pop-rock band formed in Colorado Springs, Colorado, in 2002. The lineup currently consists of Ryan Tedder (lead vocals, piano), Zach Filkins (lead guitar, viola), Drew Brown (rhythm guitar), Brent Kutzle (bass, cello), Eddie Fisher (drums), and Brian Willett (keyboards, violin).

The band achieved its first commercial success on Myspace as an unsigned act. In late 2002, after OneRepublic played shows throughout the Los Angeles area <a href=""https://www.last.fm/music/OneRepublic"">Read more on Last.fm</a>",3774388,110833759,Imagine Dragons
Danny Schmidt,"Danny Schmidt (born 7 October 1970) is an American singer-songwriter based in Austin, Texas, where he was born and raised. He now lives there with fellow musician and singer-songwriter Carrie Elkin. In 2007 he won the Kerrville Folk Festival New Folk award.

Schmidt started playing guitar at the age of 12. At age 20, he discovered he liked the blues after tracking the music of Jimi Hendrix back through Muddy Waters, Mississippi John Hurt, and Lightning Hopkins all the way to old country gospel and spirituals. <a href=""https://www.last.fm/music/Danny+Schmidt"">Read more on Last.fm</a>",35989,412294,Jason Webley
Teddy Swims,"Jaten Dimsdale, known by his moniker, Teddy Swims, is an American Singer-songwriter from Atlanta, GA.

Teddy grew up navigating different worlds: he was a football player, a musical theater student and the grandson of a Pentecostal pastor. Teddy was exposed to a wider variety of music than most “country boys”. In high school and over the next few years he was in several bands, genres ranging from 80’s hair metal, funk, modern metalcore, soul, and country alternative bands.  <a href=""https://www.last.fm/music/Teddy+Swims"">Read more on Last.fm</a>",596109,7257795,Victor Ray
Rusty Willoughby,"Rusty Willoughby (born June 30, 1966 in Staten Island and currently living in Redmond, Washington, United States) is an American songwriter, singer and guitarist / bass guitarist.  He has previously worked with several Seattle bands: Pure Joy (1984-1989, 1997-2004), Flop (1990-1995), and Llama (2005-2008).

He briefly played drums for the Fastbacks.  He also played with Kurt Bloch of the Fastbacks, Jonathan Poneman (co-founder of the record label Sub Pop) <a href=""https://www.last.fm/music/Rusty+Willoughby"">Read more on Last.fm</a>",875,9180,James Apollo
Benson Boone,"Benson Boone (born Benson James Boone in Monroe, Washington, on June 25th 2002)  is an American singer-songwriter, multi-instrumentalist and social media star with millions of followers on TikTok. He participated on the 19th Season of US TV show American Idol and made it to Hollywood Week but decided to leave the show. His debut single, Ghost Town, was released on 15 October 2021 by Street/Warner Records. 

Boone is known for his intimate and confessional pop songs, which quickly win over audiences. <a href=""https://www.last.fm/music/Benson+Boone"">Read more on Last.fm</a>",856397,19249157,Luke Hemmings
Parker Rudd," <a href=""https://www.last.fm/music/Parker+Rudd"">Read more on Last.fm</a>",467,2075,Mason Murphy
Gus Dapperton,"
Gus Dapperton is an indie pop artist from Warwick, New York, United States.

Starting out as a hip-hop producer at the age of 13, Dapperton made the switch to his current sound after a serious hospitalisation and the failure of his laptop. 

Pairing infectious, nostalgia-laden tunes with high-concept filmclips, lauded for their high-concept cinematic execution, has proven to be a recipe for success. Blowing up through 2017, with two EPs dropped, and fans and the press alike taking notice, Dapperton's future looks bright.

 <a href=""https://www.last.fm/music/Gus+Dapperton"">Read more on Last.fm</a>",530832,11260519,Dayglow
Shawn Mendes,"Shawn Peter Raul Mendes is a Canadian singer. He gained a following in 2013, posting song covers on the video-sharing application Vine. The following year, he caught the attention of artist manager Andrew Gertler and Island Records A&R Ziggy Chareton, which led to him signing a deal with the record label. Mendes's self-titled debut EP was released in 2014, followed by his debut studio album Handwritten in 2015. Handwritten debuted atop the US Billboard 200, making Mendes one of five artists ever to debut at number one before the age of 18. <a href=""https://www.last.fm/music/Shawn+Mendes"">Read more on Last.fm</a>",2128975,106757302,"Shawn Mendes, Camila Cabello"
Madeline The Person," <a href=""https://www.last.fm/music/Madeline+The+Person"">Read more on Last.fm</a>",128686,1092659,
Will Shepard," <a href=""https://www.last.fm/music/Will+Shepard"">Read more on Last.fm</a>",5508,30760,Adam Lang
Kiiara,"Kiara Saulters (born May 24, 1995), known professionally as Kiiara, is an American singer and songwriter from Wilmington, Illinois. Her debut track 'Gold' was released in June 2015 to some acclaim, peaking at #13 on the Hot 100 in October 2016. Her second single, 'Tennessee', was similarly well received. 

Slightly left-of-center pop artist Kiiara is a breathy vocalist whose output falls somewhere between that of Jhené Aiko and Lorde. Born in May 24 <a href=""https://www.last.fm/music/Kiiara"">Read more on Last.fm</a>",548190,6253292,Terror Jr
Conan Gray,"Conan Gray is an American singer-songwriter and social media personality. He was born on December 5, 1998, in Lemon Grove, California. As an infant, his family moved to Hiroshima, Japan and shortly after returned to California, before settling in Georgetown, Texas.

He started his career on YouTube under his channel 'ConanxCanon' before officially changing to 'Conan Gray'. While on his time on YouTube he released multiple original songs, with the <a href=""https://www.last.fm/music/Conan+Gray"">Read more on Last.fm</a>",1787901,150650383,Gracie Abrams
Stereo Avenue," <a href=""https://www.last.fm/music/Stereo+Avenue"">Read more on Last.fm</a>",13814,53652,Countdown Singers
Ultimate Workout Hits," <a href=""https://www.last.fm/music/Ultimate+Workout+Hits"">Read more on Last.fm</a>",3035,23152,DJ Shocker
Trinix Remix," <a href=""https://www.last.fm/music/Trinix+Remix"">Read more on Last.fm</a>",55241,491051,
jxdn,"Born Jaden Hossler, in Dallas, TX, jxdn struggled to find his voice in high school as an outsider. In 2018, he took control and developed a presence online through a consistent stream of engaging and clever content. He quietly exploded on Tik Tok, attracting 9.3 million followers and 283.8 million likes. After witnessing an arena show by the late Juice WRLD, he dove headfirst into music and unleashed his independent debut single “Comatose.” The <a href=""https://www.last.fm/music/jxdn"">Read more on Last.fm</a>",304205,9276370,MOD SUN
Olly Alexander (Years & Years),"Oliver Alexander Thornton (born 15 July 1990), known professionally as Olly Alexander, is an English singer, actor and LGBT activist.

He rose to prominence as the lead singer of the pop band Years & Years, who achieved two number-one albums on the UK Albums Chart, a number-one single, and five top ten entries on the UK Singles Chart. Between 2021 and 2023, he continued to release music under the name until their dissolution in 2024.

Alexander represented the United Kingdom in the Eurovision Song Contest 2024 in Malmö <a href=""https://www.last.fm/music/Olly+Alexander+(Years+&+Years)"">Read more on Last.fm</a>",318628,3253576,Mustii
FAOUZIA,"Born in Morocco and raised in the Canadian prairies, Faouzia combines catchy pop rhythms, heartfelt lyrics, and powerhouse vocals.

After playing hometown dates at local festivals in 2016, Faouzia’s burgeoning career started to blossom. She has since taken the stage at Toronto’s Yonge & Dundas Square for Canada’s Walk Of Fame Festival, and played one high profile event after another, wowing audiences with her heart-wrenching lyrics and magnetic stage presence. <a href=""https://www.last.fm/music/FAOUZIA"">Read more on Last.fm</a>",244031,5112787,
Lil Deela," <a href=""https://www.last.fm/music/Lil+Deela"">Read more on Last.fm</a>",5548,27659,Lil Golden Shades
Imagine Dragons,"Imagine Dragons are a pop band which formed in 2008 in Las Vegas, Nevada, United States. The band consists of Dan Reynolds (vocals), Wayne Sermon (guitar) and Ben McKee (bass) . The band released four EPs - ""Imagine Dragons"" (2009), ""Hell and Silence"" (2010), ""It's Time"" (2011) and ""Continued Silence"" (2012) - before releasing their debut full length album ""Night Visions"" on 4 September 2012.

The band's single ""It's Time"", which previously appeared on the ""It's Time"" and ""Continued Silence"" EPs in addition to appearing on ""Night Visions"" <a href=""https://www.last.fm/music/Imagine+Dragons"">Read more on Last.fm</a>",3375490,198158149,OneRepublic
MartyParty,"Whether performing as a member of PANTyRAiD, or through solo performances as MartyParty, Martin Folb brings a fresh breath through the EDM community with his musically diverse, all-original live shows that have been widely regarded as some of the best in the business. The South African-born Brooklyn native has been storming festivals and clubs through North America with his original style of seductive and melodic bass that crosses over the genres of hip hop, trap, dubstep, and EDM. <a href=""https://www.last.fm/music/MartyParty"">Read more on Last.fm</a>",61679,427951,Ooah
The Ready Set,"The Ready Set is the solo project of 33 year old Jordan Witzigreuter, started November 17th, 2007.

Born and raised in Fort Wayne, Indiana, his interest in music formed when he began playing drums at the age of 10. He says that he came home one day and his mom told him that she had signed him up for drum lessons. He states that those lessons are the main reasons he is where he is in music today. By the age of 14 he was playing in bands, playing drums while getting more familiar with other instruments <a href=""https://www.last.fm/music/The+Ready+Set"">Read more on Last.fm</a>",356283,5204125,Breathe Carolina
Blue Swede,"Blue Swede was a Swedish pop/rock band from the early to mid-70s that succeeded with a few singles that covered other artists' material, played in a deliberately 'kitsch' and 'novelty' sound. The band was originally called ""Blåblus"" (Swedish for ""blue denim shirt"") and featured vocalist Björn Skifs of the band Slam Creepers singing the lead vocals. The band got their international break-through in 1974 with their cover of the 1969 B. J. Thomas ballad ""Hooked on a Feeling"" as adapted by British pop eccentric Jonathan King. <a href=""https://www.last.fm/music/Blue+Swede"">Read more on Last.fm</a>",757614,5152446,Looking Glass
Absinthe SV," <a href=""https://www.last.fm/music/Absinthe+SV"">Read more on Last.fm</a>",41,1869,Klipz tha rapper
Bash & Pop,"Bash & Pop is an American alternative rock group formed in 1992 by Tommy Stinson in Minneapolis, Minnesota, following the breakup of the Replacements. It released one album before disbanding in 1994. Tommy Stinson reformed the band in 2016 with a new lineup and album

Stinson, who had played bass for the Replacements, switched to guitar and lead vocals for this project. Joining him were latter-day Replacements drummer Steve Foley, Steve's brother Kevin on bass and guitarist Steve Brantseg. <a href=""https://www.last.fm/music/Bash+&+Pop"">Read more on Last.fm</a>",13711,142789,Paul Westerberg
King Sol," <a href=""https://www.last.fm/music/King+Sol"">Read more on Last.fm</a>",6478,44515,Bingx
#1 Pop Hits," <a href=""https://www.last.fm/music/%231+Pop+Hits"">Read more on Last.fm</a>",20,104,
