Artista,Biografia,Listeners,Playcount,Artistas Similares
Catbreath?," <a href=""https://www.last.fm/music/Catbreath%3F"">Read more on Last.fm</a>",5298,16098,Luke Tinsley
Shapist,"Progressive Metalcore

Hometown: St. Louis

Members:
Jake Willman - Drummer
Collin Reagan - Bassist
Trevor West - Guitarist
Devan Tyler - Guitarist
Rex Carroll - Vocalist
Sam Bedichek - Vocalist

Facebook: https://www.facebook.com/ShapistOfficial
Bandcamp: http://shapist.bandcamp.com/ <a href=""https://www.last.fm/music/Shapist"">Read more on Last.fm</a>",5005,62619,Sky Written
As Cities Burn,"As Cities Burn is a post-hardcore band from Mandeville, Louisiana, USA, formed in 2002. As an unsigned act, the group accomplished impressive success touring and selling thousands of copies of their two EPs. Their success drew the attention of Solid State Records, who signed them in 2004.

ACB released its first full length album, Son, I Loved You At Your Darkest, on June 21 of 2005, and was featured in Solid State's Young Bloods Tour with The Chariot, Showbread, and He Is Legend. <a href=""https://www.last.fm/music/As+Cities+Burn"">Read more on Last.fm</a>",183606,5088609,Emery
Cop Shoot Cop,"Cop Shoot Cop was a rock music group founded in New York, NY in 1987 and disbanded in 1996.

They were frequently classified as industrial rock, but were often quite different from many bands so dubbed. Tod A.'s lyrics were clever, snide and evocative (Art Black and David Sprague suggest that ""Black humor beats black metal any day"") and their ""weirdly catchy"" music which drew ""on hot jazz and swing as much as clanging rock, emphasizing the group's stand-apart attitude."" <a href=""https://www.last.fm/music/Cop+Shoot+Cop"">Read more on Last.fm</a>",37720,862885,Foetus
As Lions And Lambs,"As Lions and Lambs is a metalcore band from Lancaster, PA that loves chugging out heavy breakdowns and spreading the word of God through their jams. <a href=""https://www.last.fm/music/As+Lions+And+Lambs"">Read more on Last.fm</a>",2626,26828,Collapse//Revive
Taproot,"Taproot is an American nu metal/alternative rock band. Hailing from Ann Arbor, Michigan, Taproot formed in late 1997, and has toured with Deftones, Sevendust, Incubus, and Korn. Taproot's album ""Blue Sky Research"" was released on 16 August 2005.  Their song ""Calling"" was the official theme song of WWE's Unforgiven pay-per-view event in September 2005.  The second single from the album, ""Birthday,"" received minimal radio airtime on the East Coast. <a href=""https://www.last.fm/music/Taproot"">Read more on Last.fm</a>",610133,8253719,40 Below Summer
Here's To Now,"Here's To Now is an experimental post-hardcore band from Los Angeles, California, United States.

Here's To Now officially started in December 2016 as Joey Hernandez (vocals, bass), David Rios (drums), and Pedro Martinez (guitar) disbanded their former project. The group has been making music together since meeting each other in 2014 in their small west Texas hometown.

The band relocated to Los Angeles, California after recording a second demo with Curtis Casey, formerly of Vayden. <a href=""https://www.last.fm/music/Here%27s+To+Now"">Read more on Last.fm</a>",10629,73161,Lilac Kings
I See The End,"I See The End, is an Australian Hardcore/Groove Metal band from Albury/Wodonga. Formed in 2010, the group are unsigned, currently has a self produced EP and are currently working on some heavy new tracks.


Current members:
Jordan Berlyn - Vocals
Hayden Koetsveld - Bass
Leon Davey - Guitar
Vincent O'keefe - Guitar
Ben Koetsveld - Drums


Influences: 
Attila
Asking Alexandria
Attack Attack!
Memphis May Fire
The Word Alive


https://www.facebook.com/iseetheend
 <a href=""https://www.last.fm/music/I+See+The+End"">Read more on Last.fm</a>",2627,35974,
Between Oceans," <a href=""https://www.last.fm/music/Between+Oceans"">Read more on Last.fm</a>",4930,32348,Daze of June
Sueco,"William Schultz (b. January 28, 1997), better known by his stage name Sueco, (previously Sueco The Child), is an American rapper and producer coming from Los Angeles, California.

Sueco started gaining attention by uploading various videos on Instagram of him making beats out of many different things, but he didn’t reach the mainstream attention until his hit single “fast” (originally released on April 1, 2019) blew up out of no where due to it going viral on TikTok. <a href=""https://www.last.fm/music/Sueco"">Read more on Last.fm</a>",276526,11404074,MOD SUN
Cheer-Accident,"While still in high school, pianist/drummer Thymme Jones was browsing the racks at a Hallmark store when he noticed a category of greeting cards labeled ""CHEER-ACCIDENT."" Since then, six lineups have passed through Jones' band CHEER-ACCIDENT, and it has endured the loss of one of its members (Phil Bonnet, d. 1999). Throughout the decades, their diverse musical output has ranged from intricate and off-kilter pop, to densely orchestrated, Henry Cow-influenced avant-progressive epics <a href=""https://www.last.fm/music/Cheer-Accident"">Read more on Last.fm</a>",9183,221892,The Flying Luttenbachers
Knox,"There are several artists/acts called Knox

1. Knox is British punk rock musician Ian M. Carnochan (born 4 September 1945 in Cricklewood, London, United Kingdom), who is perhaps best known as a founding member of British punk vband The Vibrators, but he also records under his own moniker. Born in London, he spent his formulative years in Cricklewood and then Watford, where he became interested in the guitar at the age of thirteen. He was in various school bands <a href=""https://www.last.fm/music/Knox"">Read more on Last.fm</a>",121710,2063376,Beauty School Dropout
Mixtapes,"Mixtapes are an American pop-punk/rock band from Cincinnati, Ohio. The band's current line-up consists of drummer Boone Haley, bassist Michael Remley and vocalists/guitarists/songwriters Maura Weaver and Ryan Rockwell. Weaver and Rockwell met and formed the band in 2010 after the two worked at a music club. Their first release was a 2010 demo, A Short Collection of Short Songs; which was later released as a seven-inch. 2010 also saw the band release an album <a href=""https://www.last.fm/music/Mixtapes"">Read more on Last.fm</a>",33871,1891616,Spraynard
Blackshape,"BLACKSHAPE is an instrumental, post-mathcore band from Salt Lake City, UT. Their forthcoming debut album, recorded and co-produced by the legendary Matt Goldman (The Chariot, Underoath, Silent Planet), is a study in maximalism—written and recorded as one continuous loop, the record plunges listeners into a complex journey of heavy, beautiful math. <a href=""https://www.last.fm/music/Blackshape"">Read more on Last.fm</a>",19229,163488,"Shy, Low"
Boil,"There are 2 groups with the name “Boil”

1. Danish Metal Band (2004 - 2013)
2. Indie Rock solo project of Connor Boyle, Chicago musician formally of AKA Foxy (2011 - present)


1. 
Biography
Based in Aarhus, Denmark, the progrock band BOIL plays an ambitious style of progressive rock and metal that balances on the delicate edge of melodic catchiness, intricacy and complexity. With the 5 members drawing from widely different influences, the unique mixture contains elements of both polyrhythmic modern metal <a href=""https://www.last.fm/music/Boil"">Read more on Last.fm</a>",10477,161027,Moving Atlas
MODDER,"MODDER IS:
Mathlovsky - Guitars
Gregory Simons - Drums
Maurice van der Es - Bass
Simon Felix - Electronics
2022 Jamal Talibi - Guitars
2020-2021 Maxime Rouquart - Guitars <a href=""https://www.last.fm/music/MODDER"">Read more on Last.fm</a>",1338,12041,
VRSTY,"VRSTY (pronounced Varsity) is a R&B /post-hardcore infused band from NYC. Since inception VRSTY has always been about standing out & setting themselves apart from the “norms & cliches” of the Post-Hardcore scene while also bringing something fresh and inspirational to the listener. Blending heavy and melodic instruments with R&B singing VRSTY has already made waves playing sold out shows with acts such as The Plot In You, Dayseeker, Like Moths To Flames, Ice Nine Kills & Slaves while also touring the country numerous times. <a href=""https://www.last.fm/music/VRSTY"">Read more on Last.fm</a>",26988,437401,Palisades
Modern Diet,"""CHEMICALS"" EP Now Available on iTunes and Spotify! https://itunes.apple.com/us/album/chemicals-ep/id878204762

Originally begun as a solo project, Modern Diet was the moniker under which Jake Cheriff wrote, recorded and released a three song EP in the summer of 2012. It didn’t take long for Modern Diet to evolve into an electric four-piece outfit after the current members all met at New York University that fall. The bands debut EP was released April 23rd, 2013. <a href=""https://www.last.fm/music/Modern+Diet"">Read more on Last.fm</a>",5203,23406,The Title Sequence
I Wish We Were Robots,"I Wish We Were Robots is a Metalcore band from Sacramento, California. The band was formed in February 2009 by Anthony Pellerin (Guitar), Geoff Eckert (Drums), Chris Bishop (Bass), Ryan Frost (Guitar and Clean Vox) and Kyle Gilbert (Scream Vox). The band's first release; a self recorded, self titled EP was released in April 2009.

This first release showcased the bands potential and helped them tour regionally opening up for national acts such as Whitechapel, For The Fallen Dreams, Molotov Solution and many others. <a href=""https://www.last.fm/music/I+Wish+We+Were+Robots"">Read more on Last.fm</a>",1920,18988,Chasing Safety
ONE OK ROCK,"ONE OK ROCK is a Japanese Rock band formed in the summer of 2005. It was started by Toru with High School friends Alex and Ryota after each of them got their musical instruments. After that, Taka joined as their vocalist and they focused on performing shows in the Tokyo area.

In 2006 they independently released 2 mini albums. Because of their albums sales, their participation in relatively large festivals that summer and their energetic shows in the outskirts of Tokyo, they were noticed by a foreign record company. <a href=""https://www.last.fm/music/ONE+OK+ROCK"">Read more on Last.fm</a>",471188,38053782,MY FIRST STORY
Godsmack,"Godsmack is a hard rock/alternative metal band from Lawrence, Massachusetts, United States which formed in 1995. The band comprises founder, frontman and songwriter Sully Erna, guitarist Tony Rombola, bassist Robbie Merrill, and drummer Shannon Larkin. Since its formation, Godsmack has released seven studio albums, one EP, four DVDs, and one greatest hits collection. The band's latest album, ""When Legends Rise"", was released on April 27, 2018.

The band has three #1 albums (Faceless <a href=""https://www.last.fm/music/Godsmack"">Read more on Last.fm</a>",1797594,47018164,Disturbed
Year of the Fall,"Year of the Fall is the musical stylings of longtime synth vocalist Wyndel Rett and the Veti AI, which makes them 75% machine and 100% skiller. They are the most famous band on Haverwrath, largely because they are the only band left on the fading city-planet. But somebody has to keep the music thumping, even until the end. The group’s unique synthwave sound comes straight from the west side stacks, where humanity and machinity mix and music buzzes with electric life. <a href=""https://www.last.fm/music/Year+of+the+Fall"">Read more on Last.fm</a>",354,4181,Von Kaiser
Anemic Royalty," <a href=""https://www.last.fm/music/Anemic+Royalty"">Read more on Last.fm</a>",1089,8794,TABS
Jason Richardson,"Jason Richardson is an American lead guitarist, His solo album ""I"" was released on 29th, July, 2016.
His earlier career : 
Lead guitarist for All Shall Perish (2009-2010)
Lead guitarist for Born of Osiris (2010-2011)
Lead guitarist for Chelsea Grin (2012-2015)
 <a href=""https://www.last.fm/music/Jason+Richardson"">Read more on Last.fm</a>",41666,559670,Vitalism
Kaleo,"Kaleo is an Icelandic indie pop / blues rock / folk band established in 2012 and their first major public appearance Iceland Airwaves Music Festival in November 2012. Their fame came through ""Vor í vaglaskógi"" as it was included on heavy rotation on Icelandic state broadcaster RÚV's radio station Rás 2 featuring on top of the stations Top 10.

The band consists of lead vocalist and guitarist Jökull Júlíusson, drummer David Antonsson, bassist Daniel Kristjansson, lead guitarist Rubin Pollock and harmonicist Þorleifur Gaukur Davíðsson. <a href=""https://www.last.fm/music/Kaleo"">Read more on Last.fm</a>",952373,15659961,Welshly Arms
Sincerely,"Christian Bridges (Guitar)
Bradley Lockhart (Bass)

Sincerely is a groovy, instrumental, math-rock band from Detroit, Michigan, with roots in post-hardcore.

Their debut EP, Sweet Talk, dropped in 2017, featuring instantly catchy tunes with lasting appeal, like “King Weather” and “Mermaid Mansion.” The five-song release quickly put them on the radar with indie and underground music groups, gaining attention on the local music scene and online through social media and forums. <a href=""https://www.last.fm/music/Sincerely"">Read more on Last.fm</a>",23966,184423,Lilac Kings
We Came As Romans,"We Came as Romans (often abbreviated as WCAR) is an American metalcore band from Troy, Michigan. Formed in 2005, the band has undergone one name change and multiple line-up changes. In 2016, they signed with SharpTone Records after being part of the Equal Vision Records roster since 2009.

The band has released six studio albums:
To Plant a Seed (2009)
Understanding What We've Grown to Be (2011)
Tracing Back Roots (2013)
We Came as Romans (2015)
Cold Like War (2017) <a href=""https://www.last.fm/music/We+Came+As+Romans"">Read more on Last.fm</a>",706648,22428025,
Stone Broken,"Stone Broken are a 4-piece hard rock band from Walsall, UK.
Formed in late 2013 from the fragments of 2 local bands, Rich, Kieron, Chris & Robyn, have formed a dynamic outfit that delivers a BIG chunky rock sound with huge choruses.
 
They self-released their debut EP – The Crow Flies – in 2014, with the video for Let Me Go achieving cult status in the UK with over 20,000 plays.
 Stone Broken signed a management deal with Peter Keevil of TMR Band Management in October 2015. <a href=""https://www.last.fm/music/Stone+Broken"">Read more on Last.fm</a>",17758,183653,Those Damn Crows
Tungsten,"TUNGSTEN could refer to a number of different artists:

Tungsten is a Swedish power metal band formed by ex-HammerFall drummer Anders Johansson and his two sons.

Anders founded the band in 2016, together with his son Nick and Karl Johansson. The idea for creating a band together arose, after Anders listened to metal music that his sons created, which he enjoyed, eventually leading into the bands formation.Tungsten was later joined by Swedish vocalist Mike Andersson, following which the recording of their first album started. <a href=""https://www.last.fm/music/Tungsten"">Read more on Last.fm</a>",31481,549317,Bloodbound
Honour Crest,"With fast paced beats and an electronica-hardcore hybrid that blends seamlessly, Honour Crest creates a new epic sound that is unmistakably their own.

https://www.facebook.com/honourcrest

debut album 'Spilled Ink' coming Dec 10th 2013 through Rise Records. <a href=""https://www.last.fm/music/Honour+Crest"">Read more on Last.fm</a>",7113,112273,City in the Sea
