Artista,Biografia,Listeners,Playcount,Artistas Similares
Revancha Ska," <a href=""https://www.last.fm/music/Revancha+Ska"">Read more on Last.fm</a>",26,205,Undisputed World Champions
Dissidente," <a href=""https://www.last.fm/music/Dissidente"">Read more on Last.fm</a>",1554,27244,Hans Gruber And The Die Hards
The Dualers,"The Dualers are street performing brothers Si and Tyber.

The Dualers perform a unique blend of ska, soul and reggae that appeals to all ages with members of their database ranging from 1 to 91. They have a fan base of approaching 10,000 members but have probably been seen by in excess of 4 million whilst busking around the south east and performing at private functions, for the last 8 years. They have sold over 35,000 copies of their first two cd's on the streets alone. <a href=""https://www.last.fm/music/The+Dualers"">Read more on Last.fm</a>",10401,148909,Pressure Cooker
Eastern Standard Time,"Put together top musicians from the Jazz and Reggae scenes, give them the recipie for the original Jamaican Ska, throw a dose of Soul in the mix and the result is Eastern Standard Time. From their initial days as a Be Bop influenced Ska-Jazz supergroup, the band has matured over more than a decade, adding Rocksteady, Reggae, Dub, Soul, and even Spy Jazz into their repertoire.

Eastern Standard Time is a world-renowned act, with multiple tours of The United States, Canada, Europe and Russia to their credit. <a href=""https://www.last.fm/music/Eastern+Standard+Time"">Read more on Last.fm</a>",14338,125116,The Adjusters
The Adjusters,"There are several artists with the name The Adjusters:

1) The Adjusters, a socially conscious Chicago ska/soul/funk band, formed out of a group of college acquaintances from the University of Chicago.   The band consists of Jason Packer, Daraka Kenric, Larimore-Hall, Jessica Basta, Matt Parker,  Rench, and several dozen friends and guests. 

The Adjusters' style fuses many genres, from ska to funk, reggae to soul, witha bit of jazz.  The tempo of their music ranges from the upbeat anthem Armstrong <a href=""https://www.last.fm/music/The+Adjusters"">Read more on Last.fm</a>",9981,80371,Stubborn All-Stars
Buck-O-Nine,"Buck-O-Nine formed in a small warehouse in the early part of 1991. Based in San Diego, the band was on the horizon of a change in the music industry. At the time the catch phrase was “Grunge.” The band was eager to take a different path. With their backgrounds in Punk/Metal bands, Reggae bands and 2nd wave Ska bands, Buck-O-Nine had the formula for what was to become a new mutation of sounds. Inspired by the early founders of this new sound, Buck-O-Nine admired the works of Fishbone <a href=""https://www.last.fm/music/Buck-O-Nine"">Read more on Last.fm</a>",133876,1224081,Mustard Plug
The No Name Ska Band," <a href=""https://www.last.fm/music/The+No+Name+Ska+Band"">Read more on Last.fm</a>",57,476,The Inevitables
The Expendables,"An award-winning, California-grown, surf culture band that's established itself as a vital part of the Santa Cruz, CA music scene.

Expendables' distinctive live performances and unique brand of music. Described as an electric mix of genre-bending rock, reggae and surf. It has begun to charm audiences far and wide. Rapidly approaching status as a full-time touring act, the band is a rising star on the West Coast. To date, The Expendables have performed <a href=""https://www.last.fm/music/The+Expendables"">Read more on Last.fm</a>",321627,3743094,Pepper
Green Room Rockers,"THIS IS FROM INDIANA? yep....from NWI to indy all the way to the tip of the boot. We are proud to rep that Hoosier Homegrown. GRR mixes the Bass Heavy sounds of Jamaica from its original golden era with All-American Soul. Its boot stompin, finger snappin music for those whole like the small axe sharp and ready. The versatility of the music allows GRR to play alongside anything from country western to punk, and still get them feet movin. thanks for stoppin by, and come say hi at our next stage show! <a href=""https://www.last.fm/music/Green+Room+Rockers"">Read more on Last.fm</a>",4238,52545,The Forthrights
The Selecter,"The Selecter, a ska revival band from Coventry, England, formed in the late 1970s as one of the essential bands of the British ska movement. The profilic lead singer is Pauline Black. The Selecter are known for hits as 'On My Radio', 'Too Much Pressure', 'Missing Words', 'Three Minute Hero' and 'Celebrate The Bullet'. The Selecter featured a racially mixed line up, and the name of the band is a reference to the Jamaican word for a music selecter, known elsewhere as the DJ. <a href=""https://www.last.fm/music/The+Selecter"">Read more on Last.fm</a>",201350,1914379,The Beat
