artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Klur,no data,no data,no data,activo
M.I.M.E,Canada,no data,no data,activo
Kideko,Brighton,no data,no data,activo
Habstrakt,France,no data,1990,activo
Solardo,United Kingdom,no data,no data,activo
UK Subs,United Kingdom,London,1977,activo
PROFF,Moscow,Moscow,no data,activo
Lane 8,United States,no data,no data,activo
Junior Jack,Belgium,Rutigliano,1971,activo
Crowded House,Australia,Melbourne,1985,activo
Chicago House Classics,no data,no data,no data,activo
Bellecour,no data,no data,no data,activo
Piem,Barcelona,no data,no data,activo
Leftwing : Kody,London,no data,no data,activo
Nato Medrado,Brazil,no data,no data,activo
Art Tatum,United States,Toledo,1909,activo
Cubicolor,Netherlands,Amsterdam,2014,activo
Sébastien Léger,France,Paris,1979,activo
Genix,United Kingdom,no data,no data,activo
Davina Porter,no data,no data,no data,activo
J. K. Rowling,United Kingdom,Yate,1965,activo
Above & Beyond,United Kingdom,United Kingdom,2000,activo
Noizu,Los Angeles,no data,no data,activo
Vantage,France,no data,no data,activo
Ranger Trucco,no data,no data,no data,activo
Kreature,Leeds,no data,no data,activo
Bijou,France,no data,1975,activo
Swayzak,United Kingdom,London,1993,activo
UK Subs,United Kingdom,London,1977,activo
Tlim Shug,no data,no data,no data,activo
Kaskade,United States,Chicago,1971,activo
Kolter,Köln,no data,no data,activo
Metric,Canada,Toronto,1998,activo
Al Wootton,London,no data,no data,activo
Fem 2 Fem,United States,no data,no data,activo
Jeremy Olander,Stockholm,Fairfax,1987,activo
Yokel,no data,no data,no data,activo
Sonic Youth,United States,New York,1981,activo
Walker & Royce,no data,no data,no data,activo
Devault,no data,no data,no data,activo
Dateless,no data,no data,no data,activo
José Cid,Portugal,Chamusca,1942,activo
DUCKY,United States,no data,no data,activo
MANT,no data,no data,no data,activo
ZONE,Japan,Sapporo,1997,activo
Stephen King,United States,Portland,1947,activo
[no artist],no data,no data,no data,activo
Morrt,Derby,no data,no data,activo
J. K. Rowling,United Kingdom,Yate,1965,activo
Soft Machine,United Kingdom,Canterbury,1966,activo
Nora en Pure,Switzerland,Johannesburg,1990,activo
Dustycloud,France,Paris,no data,activo
Re.You,no data,no data,no data,activo
Genius of Time,Sweden,no data,no data,activo
Kasablanca,no data,no data,no data,activo
Hauswerks,no data,no data,no data,activo
COEO,München,no data,no data,activo
Sound Quelle,Russia,no data,no data,activo
AL-90,Murmansk,Russia,no data,activo
Dombresky,France,no data,no data,activo
Disclosure,United Kingdom,Reigate,2010,activo
RSquared,no data,no data,no data,activo
DØBER,Netherlands,no data,no data,activo
Kitone,no data,no data,no data,activo
GAME FREAK,Japan,Japan,no data,activo
D.O.D,Manchester,no data,1995,activo
Rendher,no data,no data,no data,activo
Phil Collins,United Kingdom,Hounslow,1951,activo
BUNT,Germany,no data,no data,activo
Low Steppa,United Kingdom,no data,no data,activo
Marsh,United States,United Kingdom,1992,activo
Tinlicker,Netherlands,Utrecht,2012,activo
James Brown,United States,Barnwell,1933,activo
Tim Engelhardt,Germany,no data,no data,activo
Sacha Robotti,Berlin,no data,no data,activo
Chris Lake,United Kingdom,Aberdeen,1982,activo
San Pacho,no data,no data,no data,activo
Dusky,United Kingdom,no data,no data,activo
Rivas ᴮᴿ,no data,no data,no data,activo
Kouslin,United Kingdom,no data,no data,activo
Black Sabbath,United Kingdom,Birmingham,1968,activo
Within Temptation,Netherlands,Waddinxveen,1995,activo
Dean Martin,United States,Steubenville,1917,activo
Cloverdale,no data,no data,no data,activo
CamelPhat,United Kingdom,Liverpool,2008,activo
Gorgon City,United Kingdom,no data,2012,activo
Tensnake,Germany,Hamburg,1975,activo
Tom Jones,Wales,Pontypridd,1940,activo
Grum,United Kingdom,Glasgow,1986,activo
BLR,no data,no data,no data,activo
