artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Charlie Puth,United States,Janesville,1991,activo
Michael Bublé,Canada,Burnaby,1975,activo
GOLDHOUSE,Chicago,no data,2012,activo
Ed Sheeran,United Kingdom,Halifax,1991,activo
Hujili,no data,no data,no data,activo
John Williams,United States,Flushing,1932,activo
The Cherry Blues Project,Argentina,Buenos Aires,2001,activo
David Gray,United Kingdom,Sale,1968,activo
Portugal. The Man,United States,Wasilla,2004,activo
no data,no data,no data,no data,no data
Alstroemeria Records,Chiyoda,no data,no data,activo
Evelyn “Champagne” King,United States,The Bronx,1960,activo
Believe Sunshine,no data,no data,no data,activo
OneRepublic,United States,Colorado Springs,2004,activo
Danny Elfman,United States,Los Angeles,1953,activo
Peach Pit,Canada,Canada,2016,activo
Julia Michaels,United States,Davenport,1993,activo
MARINA,Wales,Brynmawr,1985,activo
Bryan Adams,Canada,Kingston,1959,activo
Charlie Parker,United States,Kansas City,1920,activo
Gus Dapperton,United States,no data,1997,activo
gnash,United States,Los Angeles,1993,activo
Xeuphoria,England,no data,no data,activo
Kate Bush,England,Welling,1958,activo
Cimorelli,United States,Sacramento,2007,activo
Kiiara,United States,Wilmington,1995,activo
Will Tura,Belgium,Veurne,1940,activo
Conan Gray,United States,Lemon Grove,1998,activo
MØ,Denmark,Odense,1988,activo
Leona Lewis,United Kingdom,Islington,1985,activo
Trinix Remix,no data,no data,no data,activo
Olly Alexander,United Kingdom,Harrogate,1990,activo
jxdn,United States,Texas,2001,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Faouzia,Canada,Casablanca,2000,activo
Lil Wayne,United States,New Orleans,1982,activo
Imagine Dragons,United States,Las Vegas,2008,activo
D’Mixmasters,no data,no data,no data,activo
Iyaz,British Virgin Islands,British Virgin Islands,1987,activo
MartyParty,United States,South Africa,no data,activo
Rita Ora,United Kingdom,Pristina,1990,activo
Blue Swede,Sweden,Stockholm,1973,activo
Zoe Wees,Germany,Hamburg,2002,activo
"Blood, Sweat & Tears",United States,New York,1967,activo
Plague of Stars,United States,Minneapolis,2012,activo
Ultimate Pop Hits!,no data,no data,no data,activo
Robin Schulz,Germany,Osnabrück,1987,activo
Sam Feldt,Netherlands,Amsterdam,1993,activo
Planet 1999,London,London,2018,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Iggy Azalea,United States,Sydney,1990,activo
Anthem Lights,United States,Nashville,2007,activo
Donna Summer,United States,Boston,1948,activo
Maroon 5,United States,Los Angeles,2002,activo
Ava Max,United States,Milwaukee,1994,activo
George R. R. Martin,United States,Bayonne,1948,activo
ZZ Top,United States,Houston,1969,activo
no data,no data,no data,no data,no data
Monogem,Los Angeles,no data,no data,activo
Cobra Starship,United States,New York,2005,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Mike Oldfield,United Kingdom,Reading,1953,activo
Ultimate Pop Hits!,no data,no data,no data,activo
The Gentle Men,no data,no data,no data,activo
Polar States,Liverpool,no data,no data,activo
Disclosure,United Kingdom,Reigate,2010,activo
Lukas Graham,Denmark,Copenhagen,2011,activo
Haedes,Atlanta,Atlanta,2011,activo
Dua Lipa,England,London,1995,activo
no data,no data,no data,no data,no data
MaKenzie,no data,no data,no data,activo
War,United States,Long Beach,1969,activo
Why Don’t We,United States,no data,2016,activo
D.O.D,Manchester,no data,1995,activo
Olivia Rodrigo,United States,Murrieta,2003,activo
ZZ Top,United States,Houston,1969,activo
The Living Strange,no data,no data,2019,activo
Gorillaz,England,Essex,1999,activo
Female Rapper,no data,no data,no data,activo
EDX,Zurich,Zurich,1976,activo
David Bowie,England,Brixton,1947,activo
Echosmith,Los Angeles,Toluca Lake,2009,activo
Bebe Rexha,United States,New York,1989,activo
no data,no data,no data,no data,no data
Bazzi,United States,Dearborn,1997,activo
JZAC,New Hampshire,Boston,1991,activo
Falcom Sound Team jdk,Japan,no data,1988,activo
Henry Purcell,United Kingdom,Westminster,1659,activo
CURB,Milwaukee,no data,no data,activo
Topic,Germany,Solingen,1992,activo
Hex,Slovakia,Bratislava,1989,activo
20/20,United States,Tulsa,1977,activo
no data,no data,no data,no data,no data
Roxy Music,United Kingdom,London,1971,activo
Lady Gaga,United States,Upper East Side,1986,activo
bülow,Canada,Berlin,1999,activo
Tove Lo,Sweden,Stockholm,1987,activo
The Andrews Sisters,United States,Minneapolis,1937,activo
Maroon 5,United States,Los Angeles,2002,activo
Tesher,no data,no data,no data,activo
no data,no data,no data,no data,no data
BENEE,New Zealand,Auckland,2000,activo
Luis Fonsi,Puerto Rico,San Juan,1978,activo
Hailee Steinfeld,United States,Los Angeles,1996,activo
Pomplamoose,United States,Corte Madera,2008,activo
Thirty Seconds to Mars,United States,Los Angeles,1998,activo
Wayword,Monterey Park,Monterey Park,2018,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Hedley,Canada,Abbotsford,2004,activo
Jonas Brothers,United States,Wyckoff,2005,activo
Top of the Poppers,United Kingdom,no data,no data,activo
Doc Watson,United States,Deep Gap,1923,activo
Chach,no data,no data,no data,activo
Selena Gomez,United States,Grand Prairie,1992,activo
Dereck Higgins,Omaha,Omaha,1955,activo
Niall Horan,Ireland,Mullingar,1993,activo
Fear Factory,United States,Los Angeles,1990,activo
Colin Baker,United Kingdom,London,1943,activo
Freddy Quinn,Germany,Niederösterreich,1931,activo
Last Login,no data,no data,no data,activo
Billie Eilish,United States,Los Angeles,2001,activo
Mabel,England,Alhaurín el Grande,1996,activo
Computer Graphics,Russia,no data,no data,activo
a‐ha,Norway,Oslo,1983,activo
Jeremy Zucker,United States,Franklin Lakes,1996,activo
Lucas & Steve,no data,Maastricht,2010,activo
Sunrise Avenue,Finland,Helsinki,2002,activo
Revolt Production Music,no data,no data,no data,activo
Lil Wayne,United States,New Orleans,1982,activo
Choir of New College Oxford,United Kingdom,no data,1379,activo
The Jagged Edges,no data,no data,no data,activo
Sound Collective,no data,no data,no data,activo
late night drive home,El Paso,no data,no data,activo
Grouplove,United States,Los Angeles,2009,activo
Material,United States,New York,1978,activo
Maxime Le Forestier,France,Paris,1949,activo
Jenna Raine,no data,no data,no data,activo
Sofía Reyes,Mexico,Monterrey,1995,activo
Elektronomia,no data,no data,no data,activo
Gwen Stefani,United States,Fullerton,1969,activo
Sam Smith,United Kingdom,London,1992,activo
Lizzo,United States,Detroit,1988,activo
James Brown,United States,Barnwell,1933,activo
Sassydee,no data,no data,no data,activo
GZA/Genius,United States,Brooklyn,1966,activo
Fern Michaels,United States,no data,1933,activo
Cpektir,no data,no data,no data,activo
Ed Askew,United States,Stamford,1940,activo
Harms,no data,no data,no data,activo
POP ETC,Brooklyn,Berkeley,2005,activo
David Guetta,France,Paris,1967,activo
Room 208,San Francisco,no data,no data,activo
Nickel Creek,United States,Vista,1989,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Moxie Raia,United States,Red Bank,1990,activo
Juice WRLD,United States,Chicago,1998,activo
Brothers of End,no data,no data,no data,activo
G.P.,United States,no data,no data,activo
Busta Rhymes,United States,Brooklyn,1972,activo
Today's Hits,United States,Lexington,no data,activo
no data,no data,no data,no data,no data
Anne‐Marie,United Kingdom,Essex,1991,activo
Ellie Goulding,United Kingdom,Hereford,1986,activo
Room 201,Manchester,no data,no data,activo
Aaaron,Berlin,no data,no data,activo
twenty one pilots,United States,Columbus,2009,activo
3OH!3,United States,Boulder,2004,activo
Piano Dreamers,no data,no data,no data,activo
Chelsea Locklear,no data,no data,no data,activo
Faith No More,United States,San Francisco,1983,activo
MODERNS,Los Angeles,Los Angeles,2014,activo
MkX,United States,no data,no data,activo
Marshmello,United States,Philadelphia,1992,activo
Cat Power,United States,Atlanta,1972,activo
Post Malone,United States,Syracuse,1995,activo
Lorde,New Zealand,Takapuna,1996,activo
Mateusz Dembek,no data,no data,no data,activo
Nicole,Germany,Saarbrücken,1964,activo
Wolfram Berger,Austria,Graz,1945,activo
Vibe2Vibe,no data,no data,no data,activo
Bessie Smith,United States,Chattanooga,1894,activo
Unholy Grave,Japan,Nagoya,1993,activo
Thomas Bergersen,Norway,Trondheim,1980,activo
Craig David,United Kingdom,Southampton,1981,activo
Jess Glynne,United Kingdom,Muswell Hill,1989,activo
ZZ Top,United States,Houston,1969,activo
Demi Lovato,United States,Albuquerque,1992,activo
Alessia Cara,Canada,Mississauga,1996,activo
Sabrina Carpenter,United States,Bucks County,1999,activo
Dead Can Dance,Australia,Melbourne,1981,activo
Remix Factory,no data,no data,no data,activo
Top Hits,no data,no data,no data,activo
Valley,Canada,Toronto,2014,activo
Kbubs,United States,no data,no data,activo
HOYO-MiX,China,no data,2011,activo
Art Popular,Brazil,São Paulo,no data,activo
Bruno Mars,United States,Honolulu,1985,activo
All‐4‐One,United States,no data,1993,activo
Paul McCartney,United Kingdom,Walton,1942,activo
Chris Rea,United Kingdom,Middlesbrough,1951,activo
Lxst,no data,no data,no data,activo
Labrinth,United Kingdom,Hackney,1989,activo
Crystal Gayle,United States,Indiana,1951,activo
barnacle boi,United States,Wilmington,1992,activo
Fun Fun,Italy,no data,no data,activo
Don Gibson,United States,Shelby,1928,activo
Phenomena,United Kingdom,London,1984,activo
Neil Young,Canada,Toronto,1945,activo
hayden kolb,Tennessee,no data,no data,activo
Carl Perkins,United States,Tiptonville,1932,activo
Leon Russell,United States,Lawton,1942,activo
NYCL KAI,no data,no data,no data,activo
Panic! at the Disco,United States,Las Vegas,2004,activo
no data,no data,no data,no data,no data
mgk,United States,Houston,1990,activo
Justin Bieber,Canada,London,1994,activo
Caye,United States,no data,no data,activo
Charli xcx,England,Cambridge,1992,activo
Ricky Nelson,United States,Teaneck,1940,activo
J. K. Rowling,United Kingdom,Yate,1965,activo
The Fuxx,Tartu,Viljandi,no data,activo
DNCE,United States,San Francisco,2015,activo
Zero‐G,United Kingdom,no data,1990,activo
no data,no data,no data,no data,no data
Zedd,Germany,Saratov,1989,activo
DijahSB,Canada,no data,no data,activo
Clean Bandit,United Kingdom,Cambridge,2008,activo
Galantis,Sweden,Stockholm,2012,activo
Rudimental,United Kingdom,Hackney,2010,activo
twocolors,Berlin,no data,no data,activo
Janelle Monáe,United States,Kansas City,1985,activo
Three Beat Slide,United States,no data,no data,activo
Felix Jaehn,Germany,Hamburg,1994,activo
MNEK,United Kingdom,Lewisham,1994,activo
Avicii,Sweden,Stockholm,1989,activo
Movie Sounds Unlimited,no data,no data,no data,activo
Ray Price,United States,Wood County,1926,activo
T‐SQUARE,Japan,no data,1976,activo
Lou Reed,United States,Brooklyn,1942,activo
Nico & Vinz,Norway,Oslo,2009,activo
WILLOW,United States,Los Angeles,2000,activo
Demola,Houston,no data,no data,activo
Eliza Doolittle,United Kingdom,no data,1988,activo
