artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Ska-P,Spain,Madrid,1993,activo
Dissidente,Pittsburgh,no data,no data,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Eastern Standard Time,United States,"Washington, D.C.",1995,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Nine Inch Nails,United States,Cleveland,1988,activo
The No Name Ska Band,Lake Worth,no data,no data,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Green Room Rockers,United States,Indiana,no data,activo
The Selecter,United Kingdom,Coventry,1979,activo
Skankin’ Pickle,United States,San Jose,1989,activo
Chris Murray Combo,no data,no data,no data,activo
SkaDaddyZ,United States,no data,1993,activo
Pulley,United States,Simi Valley,1994,activo
Duke Ellington and His Orchestra,United States,Harlem,1927,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Assemblage 23,Seattle,Seattle,1988,activo
4 Point 0,United States,Syracuse,2005,activo
Night Gaunts,Auckland,no data,2010,activo
Something to Do,Milwaukee,Milwaukee,no data,activo
Inner Terrestrials,London,no data,1994,activo
Two Tone Club,France,Montbéliard,1999,activo
Ska Cubano,United Kingdom,London,2001,activo
Roger Whittaker,United Kingdom,Nairobi,1936,activo
Bad Manners,United Kingdom,London,1976,activo
Deal’s Gone Bad,United States,Chicago,1994,activo
Skaters,United States,New York,2012,activo
The Beatles,United Kingdom,Liverpool,1960,activo
The Skashank Redemption,Columbus,no data,no data,activo
Rude Tins,Brugg,no data,2003,activo
Stephen King,United States,Portland,1947,activo
The Beatles,United Kingdom,Liverpool,1960,activo
The Skatalites,Jamaica,Kingston,1964,activo
The Doped Up Dollies,no data,no data,no data,activo
Western Standard Time Ska Orchestra,Los Angeles,no data,no data,activo
The b Sharps,Riverside,no data,no data,activo
Fink,United Kingdom,St Ives,1972,activo
Los Lobos,United States,Los Angeles,1973,activo
The Senior Allstars,Germany,no data,no data,activo
Bim Skala Bim,United States,Boston,1983,activo
The Ska Vendors,no data,no data,no data,activo
Omnigone,California,no data,no data,activo
Hepcat,United States,Los Angeles,1989,activo
The Beatles,United Kingdom,Liverpool,1960,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Voodoo Glow Skulls,United States,Riverside,1988,activo
[spunge],United Kingdom,Tewkesbury,1997,activo
Prince,United States,Minneapolis,1958,activo
Dakka Skanks,United Kingdom,Brighton,no data,activo
The Rude Monkey Bones,Quito,no data,2007,activo
Los Aggrotones,no data,no data,no data,activo
Melbourne Ska Orchestra,Melbourne,Melbourne,2003,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Out of Control Army,Mexico,Mexico,2015,activo
The Last Slice,no data,no data,no data,activo
The Void Union,no data,no data,no data,activo
Inspecter 7,United States,New Brunswick,1992,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Some Ska Band,Rochester,no data,no data,activo
Hub City Stompers,United States,no data,2002,activo
Judge Dread,United Kingdom,Kent,1945,activo
Jer,Hong Kong,Hong Kong,1992,activo
Thee Skablins,no data,no data,no data,activo
The Planet Smashers,Canada,Montréal,1994,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Edna's Goldfish,United States,Lindenhurst,1997,activo
Pain,Sweden,Ludvika,1996,activo
skameleon,no data,no data,no data,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Kingston Rudieska,South Korea,Seoul,2005,activo
Random Hand,United Kingdom,Keighley,2002,activo
Dropcase,California,no data,no data,activo
The Beatles,United Kingdom,Liverpool,1960,activo
North East Ska Jazz Orchestra,Italy,Pordenone,2012,activo
Stubborn All-Stars,United States,New York,1994,activo
face to face,United States,Victorville,1991,activo
The Beatles,United Kingdom,Liverpool,1960,activo
General Rudie,Canada,Montréal,1997,activo
Cut Capers,United Kingdom,no data,no data,activo
New York Ska-Jazz Ensemble,United States,New York,1994,activo
J. Navarro & the Traitors,Detroit,no data,no data,activo
James Last,Germany,Bremen,1929,activo
Phoenix City All-Stars,London,no data,no data,activo
Reel Big Fish,United States,Huntington Beach,1992,activo
Slow Gherkin,United States,Santa Cruz,1993,activo
Tim Timebomb,no data,Oakland,1966,activo
DIR EN GREY,Japan,Osaka,1997,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Anti‐Flag,United States,Pittsburgh,1988,activo
Save Ferris,United States,Anaheim,1995,activo
Mephiskapheles,United States,New York,1990,activo
Skarface,Paris,no data,1991,activo
OC Ska Kids,no data,no data,no data,activo
Ruder Than You,Philadelphia,College Township,1989,activo
We Are the Union,Los Angeles,Ann Arbor,2005,activo
Oi-SKALL Mates,Japan,Tokyo,no data,activo
People Like Us,United Kingdom,no data,1967,activo
UNRB,United States,St. Petersburg,2010,activo
Voluntary Hazing,no data,no data,no data,activo
Kalles Kaviar,Switzerland,no data,no data,activo
MU330,United States,St. Louis,1988,activo
Skatune Network,Gainesville,Gainesville,2016,activo
Potshot,Japan,Tokyo,1995,activo
The Beatles,United Kingdom,Liverpool,1960,activo
South Central Skankers,United States,Los Angeles,no data,activo
Ska-P,Spain,Madrid,1993,activo
Stop The Presses,Brooklyn,no data,no data,activo
The Beatles,United Kingdom,Liverpool,1960,activo
The Stingers ATX,no data,no data,no data,activo
Imperial Leisure,no data,no data,no data,activo
Pilfers,United States,New York,1997,activo
T. Rex,United Kingdom,London,1967,activo
Anne Murray,Canada,Springhill,1945,activo
The Beatles,United Kingdom,Liverpool,1960,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Yes Sir Boss,United Kingdom,Bristol,2007,activo
Capdown,United Kingdom,Milton Keynes,1997,activo
Los Skarnales,United States,Houston,1993,activo
Let's Go Bowling,United States,Fresno,1986,activo
SKAndalous All-Stars,United States,no data,no data,activo
MxPx,United States,Bremerton,1992,activo
Skavoovie & the Epitones,United States,Newton,1994,activo
Left Alone,Los Angeles,no data,1996,activo
The Bruce Lee Band,United States,San Jose,1995,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Half Past Two,California,no data,no data,activo
