canciones,artistas,género,tipo,año lanzamiento,año
Wasteland,10 Years,rock,track,2005,2019
Novacaine,10 Years,rock,track,2018,2019
27,Title Fight,rock,track,2011,2019
Gravity,10 Years,rock,track,2024,2019
Shed,Title Fight,rock,track,2011,2019
The Shift,10 Years,rock,track,2020,2019
Beautiful,10 Years,rock,track,2008,2019
Antimatter,Silent Planet,rock,track,2023,2019
Trace Me Onto You,Title Fight,rock,track,2015,2019
Hope,We Came As Romans,rock,track,2013,2019
The Trench,10 Years,rock,track,2024,2019
Dizzy,Title Fight,rock,track,2015,2019
202Ø,Caye,rock,track,2020,2019
Backbreaker,Fit For A King,rock,track,2018,2019
Rise,10 Years,rock,track,2024,2019
I Remember,10 Years,rock,track,2023,2019
Pizza,Attila,rock,track,2018,2019
Feel the Same,Currents,rock,track,2018,2019
Waking Up,10 Years,rock,track,2005,2019
20/20,Crown The Empire,rock,track,2019,2019
Burnout,10 Years,rock,track,2018,2019
Speechless,10 Years,rock,track,2024,2019
Made Of Glass,Trapt,rock,track,2002,2019
Rose of Sharon,Title Fight,rock,track,2015,2019
Rise,10 Years,rock,track,2024,2019
Room 200,Title Fight,rock,track,2009,2019
Princeton Review,Team Sleep,rock,track,2005,2019
Come Together,Trapt,rock,track,2021,2019
Actions & Motives,10 Years,rock,track,2008,2019
Come Down,Gleemer,rock,track,2017,2019
I Remember,10 Years,rock,track,2024,2019
See You Sacred,ASkySoBlack,rock,track,2022,2019
Panopticon,Silent Planet,rock,track,2021,2019
Hope,We Came As Romans,rock,track,2013,2019
Visions,Sea in the Sky,rock,track,2015,2019
Losing My Religion,10 Years,rock,track,2018,2019
Waiting,10 Years,rock,track,2020,2019
Chasing The Rapture,10 Years,rock,track,2010,2019
Her Eyes,Fame on Fire,rock,track,2019,2019
Prey,10 Years,rock,track,2005,2019
The Recipe,10 Years,rock,track,2005,2019
Dreamer,Sea in the Sky,rock,track,2017,2019
Preface,Whirr,rock,track,2012,2019
Zyglrox,Periphery,rock,track,2010,2019
2019,Logan Crosby,rock,track,2024,2019
Paralyzing Kings,10 Years,rock,track,2005,2019
Ghosts,10 Years,rock,track,2018,2019
All Your Lies,10 Years,rock,track,2008,2019
Dying Youth,10 Years,rock,track,2008,2019
Miscellanea,10 Years,rock,track,2015,2019
10 Years Today,Bullet For My Valentine,rock,track,2007,2019
The Walk,Periphery,rock,track,2010,2019
The Messenger,10 Years,rock,track,2018,2019
From Birth to Burial,10 Years,rock,track,2015,2019
Patiently - Alternate Take,10 Years,rock,track,2022,2019
Glazey,Sincerely,rock,track,2019,2019
Woozy,Ridgeway,rock,track,2019,2019
Souvenirs,NOVELISTS,rock,track,2015,2019
Perfect Blue,Softcult,rock,track,2021,2019
Picture Perfect (In Your Eyes),10 Years,rock,track,2008,2019
Giraffulo,Properties of Nature,rock,track,2020,2019
Vampires,10 Years,rock,track,2018,2019
Catacombs,10 Years,rock,track,2018,2019
Sarcoma,Properties of Nature,rock,track,2020,2019
Drug of Choice,10 Years,rock,track,2008,2019
Dreamer,Currents,rock,track,2017,2019
Empires,10 Years,rock,track,2005,2019
Letter Experiment,Periphery,rock,track,2010,2019
Insomnia,10 Years,rock,track,2018,2019
DEGENERACY EXALTED (single),10SCOOPS,rock,track,2021,2019
Start Again,10 Years,rock,track,2020,2019
The Silence,Halestorm,rock,track,2018,2019
Sleep In The Fire,10 Years,rock,track,2020,2019
Insects,10 Years,rock,track,2005,2019
The Wicked Ones,10 Years,rock,track,2010,2019
Half Life,10 Years,rock,track,2005,2019
Writing On The Walls,10 Years,rock,track,2012,2019
Animal Nitrate,Basement,rock,track,2014,2019
Luna,10 Years,rock,track,2015,2019
Minus The Machine,10 Years,rock,track,2012,2019
Djent 2019,Jared Dines,rock,track,2019,2019
7 Years,Flaw,rock,track,2022,2019
Billy In 4C Never Saw It Coming,Motionless In White,rock,track,2009,2019
Wasteland - Alternate Take,10 Years,rock,track,2022,2019
Death Is A Relief,Holy Fawn,rock,track,2022,2019
570,Motionless In White,rock,track,2016,2019
Blood Red Sky,10 Years,rock,track,2018,2019
Emergency,Red,rock,track,2023,2019
Loop 2020,Cloudkicker,rock,track,2020,2019
Halos,10 Years,rock,track,2018,2019
11:00am (Daydreamer),10 Years,rock,track,2008,2019
Some Shit About Love,Saliva,rock,track,2018,2019
A Place for My Head,Coletta,rock,track,2020,2019
Suffocate,Crossfade,rock,track,2011,2019
Knives - Alternate Take,10 Years,rock,track,2022,2019
Seer,Holy Fawn,rock,track,2018,2019
Silhouette Of A Life,10 Years,rock,track,2010,2019
Soma - Alternate Take,10 Years,rock,track,2022,2019
I Wish,10 Years,rock,track,2020,2019
Backlash,10 Years,rock,track,2012,2019
Play To Win,Hinder,rock,track,2017,2019
Phantoms,10 Years,rock,track,2018,2019
Get Me Away From You,Hinder,rock,track,2012,2019
Float,Red,rock,track,2020,2019
The Voice Inside My Head,Ra,rock,track,2013,2019
Special,Halestorm,rock,track,2022,2019
Undercurrent,Designer Disguise,rock,track,2020,2019
New Reality,Cave In,rock,track,2022,2019
Soma,10 Years,rock,track,2012,2019
IMITATE,Liily,rock,track,2024,2019
112,Silent Planet,rock,track,2021,2019
Special,Halestorm,rock,track,2022,2019
201019,Paleface Swiss,rock,track,2019,2019
Home,Trapt,rock,track,2024,2019
Grind,Love Like Gravity,rock,track,2022,2019
Wire,Bedroom Eyes,rock,track,2019,2019
Meant To Be,Trapt,rock,track,2024,2019
Chasing The Rapture,10 Years,rock,track,2010,2019
Rabbit Hole,Year Of The Rabbit,rock,track,2003,2019
Moisture Residue,10 Years,rock,track,2015,2019
Knives,10 Years,rock,track,2012,2019
Halos - Alternate Take,10 Years,rock,track,2022,2019
IV,BLACKSHAPE,rock,track,2021,2019
River,Year Of The Rabbit,rock,track,2003,2019
V,BLACKSHAPE,rock,track,2021,2019
Survivors?,10 Years,rock,track,2015,2019
Alien,Halestorm,rock,track,2022,2019
Ashes,10 Years,rock,track,2015,2019
Devil's in the Details,Love Like Gravity,rock,track,2022,2019
Your Lies,32 Leaves,rock,track,2005,2019
Wasteland,10 Years,rock,track,2005,2019
Legendary,Halestorm,rock,track,2022,2019
"Wait, Patiently",Sea in the Sky,rock,track,2022,2019
Triggers and Tripwires,10 Years,rock,track,2015,2019
Your Game's Over,77,rock,track,2010,2019
Made Of Glass,Trapt,rock,track,2002,2019
Frame by Frame,Elle,rock,track,2018,2019
The Wicked Ones,10 Years,rock,track,2010,2019
Bombshell,Halestorm,rock,track,2022,2019
Beholder,Sincerely,rock,track,2023,2019
Dying Youth - Alternate Take,10 Years,rock,track,2022,2019
Now Is The Time (Ravenous),10 Years,rock,track,2010,2019
The Unknown - Alternate Take,10 Years,rock,track,2022,2019
Paranoid,VRSTY,rock,track,2022,2019
Waking Up - Alternate Take,10 Years,rock,track,2022,2019
Telescreen - Vampires Early Demo [Alternative Version],10 Years,rock,track,2018,2019
Metal & Fire,Wolfmother,rock,track,2021,2019
20/20 Faith,Brother Cane,rock,track,1995,2019
Loser's Salute,Hinder,rock,track,2017,2019
The Reaper,We Were Giants,rock,track,2021,2019
Neon Mirror,Polyenso,rock,track,2019,2019
Array,Elitist,rock,track,2010,2019
Birth--Death,10 Years,rock,track,2012,2019
Tightrope,10 Years,rock,track,2012,2019
Brutiful,Ra,rock,track,2013,2019
Ctrl Alt Del,Elitist,rock,track,2021,2019
Safe Here In The Shade,Trapt,rock,track,2024,2019
Rectifier 2016,Ra,rock,track,2017,2019
Mortality Moment,LIMBS,rock,track,2022,2019
Picture Perfect,Soil,rock,track,2009,2019
Hourglass,Glass Crown,rock,track,2021,2019
Paralysis,Before I Turn,rock,track,2017,2019
Heavy,Relent,rock,track,2021,2019
20**,Mat Kerekes,rock,track,2020,2019
Hold Me Up,Year Of The Rabbit,rock,track,2003,2019
Running In Place - Alternate Take,10 Years,rock,track,2022,2019
Seasons to Cycles - Alternate Take,10 Years,rock,track,2022,2019
10 Years,Kid Liberty,rock,track,2017,2019
Safe Here In The Shade,Trapt,rock,track,2024,2019
Let It Go,Year Of The Rabbit,rock,track,2003,2019
Ripple,Written by Wolves,rock,track,2018,2019
Say Goodbye - Alternate Take,10 Years,rock,track,2022,2019
Overdue,(Hed) P.E.,rock,track,2020,2019
Pendulambient,Cave In,rock,track,2022,2019
Numbered,Elitist,rock,track,2015,2019
Cranium,Slothrust,rock,track,2022,2019
Quirk,Really From,rock,track,2021,2019
Differentiate,Torrential Rain,rock,track,2021,2019
The Chain,Rains,rock,track,2021,2019
End Of Days,Ra,rock,track,2010,2019
All American Nightmare,Hinder,rock,track,2022,2019
Slow Burn,LIMBS,rock,track,2022,2019
Starting Over,Killswitch Engage,rock,track,2009,2019
Jumpsuit,Twenty One Pilots,rock,track,2021,2019
Sisu,LEVELS,rock,track,2022,2019
Mirage or Motion Blur,The Revelator,rock,track,2020,2019
Talk To Me,Hinder,rock,track,2012,2019
Control,Here's to Now,rock,track,2022,2019
Eternity,Here's to Now,rock,track,2024,2019
Stop,Help,rock,track,2020,2019
The Family Ghost,Paper Rival,rock,track,2008,2019
Hope,The Animal In Me,rock,track,2023,2019
Atypical,Life On Repeat,rock,track,2013,2019
Don't Turn Away 2016,Ra,rock,track,2017,2019
Click Click Boom - 2021 Version,Saliva,rock,track,2021,2019
Supernova 2016,Ra,rock,track,2017,2019
Aeon,Rogue,rock,track,2020,2019
Strangers,Theory of a Deadman,rock,track,2020,2019
Ours,Eidola,rock,track,2012,2019
Do You Call My Name 2016,Ra,rock,track,2017,2019
Answer,Coldcasket,rock,track,2018,2019
Radical!,Sea in the Sky,rock,track,2013,2019
Wanna Be Rich,Hinder,rock,track,2012,2019
Yearn,No Sun,rock,track,2022,2019
Soft,Motionless In White,rock,track,2024,2019
Rockstar,Shim,rock,track,2024,2019
Zip-Lock,Lit,rock,track,2020,2019
Bastard,Polyenso,rock,track,2019,2019
Cura Nata,Spirit Breaker,rock,track,2021,2019
Photoshoot,Andrés,rock,track,2018,2019
Galax,Letters From The Colony,rock,track,2018,2019
Crawling,First to Eleven,rock,track,2022,2019
Lights And Sounds,Yellowcard,rock,track,2020,2019
Bombshell,Halestorm,rock,track,2022,2019
Falling,Malory,rock,track,2006,2019
Werewolf,Motionless In White,rock,track,2024,2019
Stare,LIMBS,rock,track,2019,2019
Speak to Me,Mknly,rock,track,2018,2019
Gone Away,Saliva,rock,track,2018,2019
Glóandi,Holy Fawn,rock,track,2015,2019
Hoes & Money,OH!,rock,track,2008,2019
rot,kairo.,rock,track,2022,2019
Torn,The Relevance,rock,track,2021,2019
Higher Ground,38th Parallel,rock,track,2002,2019
Quiet. Still. Dead.,Welcome the Plague Year,rock,track,2004,2019
Come Again?,Oceana,rock,track,2008,2019
Shape:Shifter,I The Breather,rock,track,2014,2019
Lit,LARS,rock,track,2018,2019
Spring,Malory,rock,track,2006,2019
Collapse,Breathing Theory,rock,track,2021,2019
We The People,(Hed) P.E.,rock,track,2020,2019
Meticulous,Rainbow Kitten Surprise,rock,track,2024,2019
Lux Nova,Spirit Breaker,rock,track,2021,2019
Future Babez,Sea in the Sky,rock,track,2013,2019
Backlash,10 Years,rock,track,2012,2019
Black Tide,O'Brother,rock,track,2020,2019
Some Thing About Love,Saliva,rock,track,2018,2019
Bleed Blue,Brookroyal,rock,track,2012,2019
Ten Years,Folder,rock,track,2005,2019
Sign of Life,Motionless In White,rock,track,2024,2019
Demons,Year of the Cobra,rock,track,2019,2019
new rock bands,Catbreath?,rock,track,2024,2019
Some Thing About Love,Saliva,rock,track,2018,2019
Ole Time Sake,(Hed) P.E.,rock,track,2020,2019
Year of the Rabbit,empire! empire! (i was a lonely estate),rock,track,2008,2019
Save Me,Oleander,rock,track,2013,2019
Hover,Spotlights,rock,track,2016,2019
Breed,Story Of The Year,rock,track,2011,2019
Home,LGND,rock,track,2015,2019
Change Your Mind,Knox,rock,track,2024,2019
Gravity,Paralandra,rock,track,2016,2019
Swallowed Up,Departures,rock,track,2011,2019
Bones,Life Right Now,rock,track,2022,2019
60/30,Here's to Now,rock,track,2023,2019
Zero,Nine Shrines,rock,track,2021,2019
The Silence,Halestorm,rock,track,2018,2019
Year of the Fly,Salvation,rock,track,2019,2019
Wear. Me. Out.,After 10,rock,track,2019,2019
Living In A Dream,Finger Eleven,rock,track,2020,2019
To the End,Spotlights,rock,track,2016,2019
Don't Start a Band,Short Fictions,rock,track,2022,2019
Shapeshifter,One Year Later,rock,track,2012,2019
Skulls,Halestorm,rock,track,2018,2019
War 2022,Another Lost Year,rock,track,2022,2019
Para,Rogue,rock,track,2019,2019
Sky,Ra,rock,track,2010,2019
Rapture,Resolve,rock,track,2017,2019
Battle Cry,Skillet,rock,track,2024,2019
Shadows,Wolves At The Gate,rock,track,2022,2019
Crossed Out,Elle,rock,track,2018,2019
Here Lies,Hidden Hospitals,rock,track,2020,2019
Here Lies,Hidden Hospitals,rock,track,2020,2019
Letters,Ghost Chant,rock,track,2018,2019
Silent Night,10 Years,rock,track,2020,2019
Needling,Help,rock,track,2020,2019
Spell - TOT B Side,Nothing,rock,track,2019,2019
The Hand That Feeds,Nine Inch Nails,rock,track,2019,2019
XL : III,Collapse//Revive,rock,track,2019,2019
STRAY,jxdn,rock,track,2024,2019
Mushroom Cloud,Of Mice & Men,rock,track,2019,2019
Awake,Godsmack,rock,track,2021,2019
Rebel.,After 10,rock,track,2018,2019
XL : III,Collapse//Revive,rock,track,2019,2019
Year Of Ruin,Settle The Sky,rock,track,2021,2019
Amber,Elitist,rock,track,2015,2019
Underwater,Malory,rock,track,2006,2019
Year of Ruin,Settle The Sky,rock,track,2020,2019
Elite,Deftones,rock,track,2024,2019
Arts & Crafts,Bummer,rock,track,2018,2019
Inhabitant,Spirit Breaker,rock,track,2021,2019
Track XVII,Fucked Up,rock,track,2021,2019
Improv. 1. Take 1.,Welcome the Plague Year,rock,track,2004,2019
Erasing Contrast,Letters From The Colony,rock,track,2018,2019
Drip,Liars,rock,track,2010,2019
Rectifier,Ra,rock,track,2010,2019
19,snow ellet,rock,track,2022,2019
Ignition,Nebula,rock,track,2001,2019
Industry Woes.,We Hunt Buffalo,rock,track,2018,2019
Lullaby,Cop Shoot Cop,rock,track,2014,2019
Meta,Rogue,rock,track,2019,2019
"Blessed, Pt. 1",Gulfer,rock,track,2018,2019
SVO,Rainbow Kitten Surprise,rock,track,2024,2019
Spectre,Seeing Things,rock,track,2018,2019
Skulls,Halestorm,rock,track,2018,2019
Animals,SOM,rock,track,2021,2019
Oh No,Goodbye June,rock,track,2017,2019
Rapture,Resolve,rock,track,2017,2019
Spas-12,Belowground,rock,track,2020,2019
Line Erasing,Valley Maker,rock,track,2021,2019
Bled,Glass Houses,rock,track,2020,2019
Freaking Out,Belowground,rock,track,2020,2019
Doppelgänger,LEVELS,rock,track,2018,2019
Ten Years,SOM,rock,track,2018,2019
Distant Phase,Design19,rock,track,2002,2019
Calling After Me,Wallows,rock,track,2024,2019
XOUT,FACS,rock,track,2021,2019
Labrador,Pardoner,rock,track,2017,2019
Howl,Helmet,rock,track,2006,2019
Glasshouse,Interloper,rock,track,2021,2019
Eye to Eye,Living in Fiction,rock,track,2016,2019
Mars,Animal Ghosts,rock,track,2022,2019
Headless,Deftones,rock,track,2024,2019
1119,As Artifacts,rock,track,2012,2019
Awake,Godsmack,rock,track,2021,2019
Letters,Gulfer,rock,track,2020,2019
Year Of Ruin,Settle The Sky,rock,track,2021,2019
i9,From Sorrow To Serenity,rock,track,2013,2019
Bang Bang,The Bad Chapter,rock,track,2021,2019
Action Now,20/20,rock,track,1979,2019
Spell,Gravel Switch,rock,track,2022,2019
Year of Ruin,Settle The Sky,rock,track,2020,2019
Elite,Deftones,rock,track,2024,2019
Wrong Breed,Ouri,rock,track,2021,2019
Burns,Far,rock,track,2010,2019
The Void,Krill,rock,track,2016,2019
Pet Sympathy,Pet Symmetry,rock,track,2021,2019
Flowers,Colour Haze,rock,track,2005,2019
Rectifier,Ra,rock,track,2010,2019
Leech,Current,rock,track,2022,2019
equally uncomfortable,male//gaze,rock,track,2022,2019
Fever,Rosaline,rock,track,2019,2019
BS,Letters from the Fire,rock,track,2018,2019
Dusk,Virtue In Vain,rock,track,2019,2019
